명칭,우편번호,관리자,전화번호,주소,위도,경도,개요,문의 및 안내,규모,좌석수,주차 시설,어린이놀이방,개업일,영업시간,쉬는날,대표메뉴,취급메뉴,할인정보,금연/흡연,신용카드정보,포장가능,예약안내,상세정보,인허가번호
[백년가게]스미센,41248,스미센,053-752-0980,대구광역시 동구 동부로30길 15,35.8756616317,128.6290706653,"[중소벤처기업부 2018년도 '백년가게'로 선정]<br /><br />한 자리를 지켜온 대구의 민물 장어 전문점. 대표메뉴는 초벌구이 후 스팀 처리하여 구워내는 촉촉한 '민물장어구이'. 짭조름한 양념과 씹을수록 배어 나오는 장어 본연의 담백한 맛이 조화롭게 어울린다. 200년 전통의 유명한 교토우나기(민물장어)동의 맛을 그대로 재연하여 그 특별함을 더했다. 덮밥, 초밥 등 식사메뉴도 준비되어 있어 아이들도 함께하기 좋다. 옛 동대구시외버스터미널 맞은편에 위치하여 '동대구역맛집'으로 입소문이 자자하다.<br>",053-752-0980,,,주차가능,0,,11:30~22:30 (주문마감 22:30),명절당일,일본식 민물장어,초밥 / 나가사키 짬뽕 / 장어덮밥 / 특선초밥 / 돈코츠라멘 등,점심특선,모두 금연석,가능,"일부메뉴 가능(장어덮밥, 초밥)",전화예약(053-752-0980) / 네이버N예약,"화장실:업소외부(남녀개별)
",19830160013
[백년가게]밀밭베이커리,41938,밀밭베이커리,053-426-1601,대구광역시 중구 국채보상로 602-1,35.8704755085,128.5966153358,"[중소벤처기업부 2019년도 '백년가게'로 선정]

1982년부터 운영된 베이커리 전문점으로 메론크림이 가득한 메론빵이 유명하다. 그외에도 깨찰빵, 베이비슈, 쌀빵, 고국마바게트, 누룽지빵 등 다양한 빵의 종류와 케이크를 맛볼 수 있는데, 방부제 및 화학보존제를 전혀 사용하지 않는다. ‘멜론빵’과 ‘구움크로켓’은 특허권을 보유하고 있는 대표 메뉴이니, 다른곳에서 맛볼 수 없는 메뉴를 찾는다면 이 제품을 추천한다. 2층에는 카페처럼 이용할 수 있는 매장도 있어, 그 자리에서 구입한 빵을 즐길 수 있다.",053-426-1601,,,주차 가능(우측 공용주차장),0,,08:00~23:00<br />※ 전화문의 요망,연중무휴,멜론빵,멜론빵 / 미인빵 / 데빌치즈번 외,,,가능,가능,,"화장실:남녀개별
",20010158516
대동강식당,42442,대동강식당,053-471-3379,대구광역시 남구 대봉로 57-1,35.8439203157,128.6039237641,"[중소벤처기업부 2019년도 '백년가게'로 선정]
남북정상회담에서 닭온반 시연으로 더욱 유명해진곳이다. “고객을 속이면 안 된다”는 경영 철학으로 식재료 선별을 까다롭게 하고 간장, 된장, 동치미 등을 직접 담가 운영하고 있는 곳이다. 이북 음식의 특성 상, 삼삼하고 깔끔한 맛을 내기 위해 진한 양념보다는 신선하고 좋은 재료만을 고집하고 있다. 동치미, 장류 등 중요한 식재료를 1년 이상 숙성하기 때문에 최근 생겨난 북한음식 프랜차이즈와는 다른 깊은 맛으로 실향민과 그 가족들, 별미를 찾는 미식가 등 오랜 단골들을 보유하고 있다.",053-471-3379,,,가능,0,1976-01-01,11:00 ~ 21:30 (평일 브레이크타임 15:00 ~ 17:00 / 라스트오더 21:00),연중무휴,평양냉면,평양냉면 / 어복쟁반,,금연,가능,가능,가능,,19720166003
[백년가게]산호찜갈비,41908,산호찜갈비,053-422-2523,대구광역시 중구 동덕로36길 9-9,35.8709200549,128.6048757068,"※ 영업시간 10:00 ~ 22:00

[중소벤처기업부 2019년도 '백년가게'로 선정]
찜갈비는 대구 10味 중 하나로, 중구에는 동인동 찜갈비골목이 형성되어있다. 부드러운 육질과 톡톡쏘는 양념 맛은 여러 방송 매체에 소개될 만큼 맛있기로 소문난 산호찜갈비는 목우촌에서 공급 받는 국내산 육우를 매콤한 양념에 버무려 양은 냄비에 담아낸 대구식 찜갈비를 선보이고 있다. 찜갈비 조리 시 당귀, 작약, 월계수 잎 등의 약초를 사용하여 일품 요리의 맛을 내며 타 업체와 차별화를 둔 것이 특징이다.",053-422-2523,,,주차 가능(4대),0,1986-08-28,10:00 ~ 22:00,,찜갈비,찜갈비,,,가능,가능,,"화장실:남녀개별
",19790158027
[백년가게]정화네하우스,41582,정화네하우스,053-423-2503,대구광역시 북구 칠성남로 216,35.8762333227,128.6038062085,"[중소벤처기업부 2019년도 '백년가게'로 선정]
대구의 전통 음식 중 하나인 북성로 돼지 불고기를 전문으로 하면서 돼지 족발을 추가하여 지역 주민들과 관광객의 높은 호응을 얻고 있는 곳이다. 연탄불에 구워 불향 가득하게 구워낸 석쇠 불고기가 대표 메뉴이다. ""서민이 부담 없이 먹는 음식을 만든다""는 경영 철학을 이어 받아, 좋은 식자재로 건강한 음식을 만들고 합리적인 가격으로 제공하기 위해 늘 노력하고 있다. 점포 외부에서 돼지 불고기를 굽고 족발을 삶는 등의 음식 퍼포먼스를 통해 고객들의 호기심을 자극하고 적극적으로 고객들과 소통하고 있다.",053-423-2503,,,,0,1987-09-03,10:00 ~ 21:00,,석쇠불고기,석쇠불고기 / 족발 / 소불고기 외,,,가능,가능,,"화장실:남녀공용
",20020168587
[백년가게]광명반점,41580,광명반점,053-424-0938,대구광역시 북구 칠성로 70-1,35.8791550867,128.5969206224,"한 길만을 걸어온 1대 사장님이 1960년도부터 대구의 유명한 중화요리 화상들에게 14여년간 기술을 배우고 익혀, 1974년에 본인의 가게를 창업한 정통중화요리집이다. 본래 40여 개 이상의 다양한 메뉴가 있었으나, 밀려드는 손님으로 인해 현재 몇몇 대표 음식만을 주력으로 하고있다. 아직 현역으로 주방을 지키시는 1대사장님 부부와, 2대사장님 부부가 음식조리와 손님접객을 하는 가족경영의 친절한 가게이다.<br /><br />대한민국 중화요리의 정통성을 이어가고자, 소스류는 일절 사용치 않고, 재료 본연의 맛을 살리는것에 집중한다. 음식의 퀄리티를 떨어뜨리지 않기 위해 배달을 하지 않는다. 화려함을 추구하는 중식당이 아닌, 아련한 추억 속 옛맛을 고집하는 중식당이다.<br>",053-424-0938,,,,0,,11:00 ~ 14:30 (재료 소진 시 영업마감),일요일 / 명절연휴,자장면 / 볶음밥 / 난자완스밥,짜장면 / 볶음밥 / 난자완스밥 / 짬뽕 외,,,없음,,,,19930168037
[백년가게]참깨국수,42185,참깨국수,053-756-1511,대구광역시 수성구 무학로31길 55,35.8330525192,128.6265887376,"※ 영업시간 11:00 ~ 21:00

1대 창업주 어머니 도영자의 대를 이어 2대 박해진 아들이 운영중이다. 수육 등 대부분의 재료는 국산을 사용하고 있으며 김치는 하루 두 세번씩 직접 담가 제공한다. 깨끗한 환경을 유지하기 위해 청결에 항상 힘쓴다.",053-756-1511,,,,0,,11:00 ~ 21:00,월요일,참깨콩국수,참깨콩국수 / 잔치국수 / 칼국수 / 삼겹살 수육 / 파전 외,,,가능,가능(일부 메뉴),,"화장실:업소내 위치
",20010175042
[백년가게]햇님베이커리,41928,,,대구광역시 중구 달구벌대로389길 70,35.8663005990,128.5758811671,대구 중구에 위치하고 있는 햇님베이커리는 30년이 넘은 개인 제과점이다. 늘 가족에게 먹인다는 정성 가득한 마음과 좋은 재료로 만들고 있다.<br>,053-252-9447,,,,0,,"평일, 토요일 06:30~22:50<br>일요일 08:00~21:00",,아몬드쿠키 / 마늘빵 / 팥빙수,아몬드쿠키 / 마늘빵 / 팥빙수 / 소시지빵 외,,,가능,가능,,,19800158052
밥을짓다,41000,,,대구광역시 동구 팔공산로9길 6-1(덕곡동),35.9943868120,128.6150963563,"밥을짓다는 팔공산 인근에 자리 잡은 한정식 맛집이다. 대표 메뉴는 스페셜 세트다. 직화우삼겹전골, 오리냉채, 통새우볼, 곱창김, 꼬시래기, 된장찌개, 참나물 돌솥비빔밥, 명품 제주 활전복죽, 활전복, 새우버터구이 등이 나온다. 이 밖에 직화우삼겹전골, 오리냉채, 통새우볼, 곱창김, 꼬시래기, 된장찌개, 참나물 돌솥비빔밥 등이 나오는 봄 세트를 비롯해 여름, 가을, 겨울이란 이름의 세트 메뉴를 맛볼 수 있다.",0507-1468-8991,,,주차가능,0,,11:00~21:00<br>라스트오더 20:00,연중무휴,스페셜 세트,각종 세트 메뉴,,,가능,,가능,"화장실:남녀 구분 내부

",20190162148
스펠바운드,42217,,,대구광역시 수성구 용학로 106-5(두산동),35.8248061238,128.6208394728,"스펠바운드는 합리적인 가격과 편안한 분위기가 매력적인 어퍼 다이닝 레스토랑이다. 대표 메뉴는 갓 구운 빵, 주스, 허브 관자살 튀김, 셰프 추천 파스타, 안심 스테이크 등을 맛볼 수 있는 시그니처 해피코스다. 이 밖에 기버터 안심 스테이크, 키즈 안심 스테이크를 선보인다. 레스토랑 내부에는 단체석이 마련돼 있으며, 예약이 가능하다.
이곳 주변에는 수성못이 있어 연계 관광지로 삼기 좋다.",053-762-2900,,,주차가능,0,,11:30 - 21:30,없음,시그니처 해피코스,"기버터 안심 스테이크, 키즈 안심 스테이크",,,가능,,가능,"화장실:남녀 구분 내부

",20170174902
빌리웍스,41594,,,대구광역시 북구 고성북로10길 41(고성동3가),35.8831850318,128.5885268055,"빌리웍스는 베이커리와 카페, 전시와 공연이 공존하는 문화예술 복합공간이다. 대표 메뉴는 각종 베이커리다. 이 밖에 아메리카노, 에스프레소, 콜드브루, 카페라떼 등을 맛볼 수 있다. 모든 메뉴는 포장이 가능하다. 카페 내부에는 단체석이 있어 각종 모임에 적합하다.
이곳 주변에는 대구 근대역사관 등 대구의 유명 관광지가 모여 있어 연계 여행에 나서기 적합하다.",053-351-0302,,,주차가능,0,,11:30 - 22:30,없음,베이커리,아메리카노 / 에스프레소 / 콜드브루 / 카페라떼 외,,,가능,,,"화장실:남녀 구분 내부

",20170169324
팔공산장작구이,41000,,,대구광역시 동구 서촌로 82(송정동),35.9830799743,128.6266345446,"팔공산장작구이는 장작구이 음식점으로 유명하다. 대표 메뉴는 오리 장작구이다. 오리를 장작으로 초벌한 뒤 숯불에 구워 먹는다. 이 밖에 삼겹살 장작구이, 등갈비 장작구이 등을 맛볼 수 있다. 모든 음식은 포장할 수 있다. 내부에는 단체석이 마련돼 있으며, 예약이 가능하다.
음식점 주변에는 팔공산이 있어 연계 관광이 용이하다.",053-984-9294,,,주차가능,0,,11:30-22:30,매주 화요일,오리 장작구이,"삼겹살 장작구이, 등갈비 장작구이",,,가능,,가능,"부대시설:어린이 놀이방, 장애인 편의 시설 

화장실:남녀 구분

",20000160238
팔공노을,41000,,,대구광역시 동구 서촌로 98-1(송정동),35.9842214794,128.6248902213,"팔공노을은 각종 철판 장작 구이 요리 전문점이다. 대표 메뉴는 삼겹살이다. 이 밖에 생오리, 토종닭, 새우구이, 갑오징어 등을 맛볼 수 있다. 내부에는 단체석이 마련돼 있어 각종 모임이 가능하다.
음식점 인근에 팔공산이 있어 식전이나 식후에 연계 여행에 나서기 좋다.",053-986-8092,,,주차가능,0,,11:30 - 22:30,없음,삼겹살,"삼겹살, 생오리, 토종닭, 새우구이, 갑오징어",,,가능,,가능,"화장실:남녀 구분

",20160160608
가야성,42739,,,대구광역시 달서구 월배로83길 7(송현동),35.8314957531,128.5513370740,"가야성은 대구 지하철 1호선 송현역에서 50m가량 떨어져 있다. 이곳의 대표 메뉴는 짬뽕이다. 돼지고기, 오징어, 각종 채소 등으로 우려낸 육수가 일품이다. 이 밖에 짜장면, 탕수육 등도 이곳을 방문하는 사람들이 즐겨 먹는 메뉴다. 전용 주차장은 없지만, 가까운 곳에 자리한 목화주차장을 이용하면 30분 무료 도장을 찍어준다.",053-654-0545,,,주차가능 / 30분 무료,0,,11:00 - 21:00,명절 연휴,짬뽕,"짬뽕, 짜장면, 탕수육",,,가능,가능,,,20170182233
마루막창 수성점,42203,,,대구광역시 수성구 수성못2길 5(두산동),35.8256255049,128.6224504191,"마루막창 수성점은 막창 전문점이다. 하지만 외관과 내부를 둘러보면 여느 막창집과는 다른 분위기를 풍긴다. 모던하고 감각적인 내 외부가 세련된 카페를 연상시키기 때문이다.<br>이곳의 대표 메뉴는 소막창이다. 이 밖에 돼지막창, 삼겹살, 막밥 등도 맛볼 수 있다. 막밥은 볶음밥의 일종인데, 밥에 소막창과 차돌박이를 넣은 볶음밥에 김 가루와 달걀 프라이가 얹어 나온다.",053-763-3003,,,주차가능,0,,"월, 화, 수, 목, 일: 17:00-23:30<br>금, 토: 17:00-24:30",,소막창,"소막창, 돼지막창, 삼겹살, 막밥",,,가능,가능,가능,"화장실:남녀 구분
",
취팔선,42775,,,대구광역시 달서구 상화로19길 9(진천동),35.8085089613,128.5238762409,"취팔선은 30년 전통의 중식당으로 대구 최대 규모다. 이곳의 대표 주방장은 중국집 배달원이었던 18세 때부터 지금까지 대구에서 가장 많이 팔리는 짜장면을 만들고 싶다는 초심을 잃지 않고 있다. 게다가 중국에서 직접 초빙한 요리사와 15년 이상의 경력을 지닌 베테랑 요리사들이 품격 있는 중화요리를 선보다. 내부 공간은 중국 현지의 느낌을 한껏 살린 인테리어가 눈에 띈다. 간단한 식사를 위해 방문하기도 좋고, 가족 행사 등 각종 모임 등에도 적합하다.",053-637-0282,,,주차가능,0,,11:00 - 21:00,명절 당일,짬뽕,"매운고추짬뽕, 나가사끼짬뽕, 짜장면, 탕수육",,,가능,가능,가능,"화장실:남녀 구분 내부
",20200183463
큰나무집,42940,,,대구광역시 달성군 가창면 우록길 24,35.7336782520,128.6595858168,"큰나무집은 궁중약백숙으로 유명한 맛집이다. 30년 넘는 경력을 지닌 주방장이 만드는데, 20여 가지 한약재, 찹쌀, 인삼, 대추 및 16가지의 다양한 잡곡을 넣어 요리한다. 게다가 토종닭을 사용하여 육질이 쫄깃하다. 궁중닭백숙 외에 도리탕, 간장찜닭, 도리탕 김치찜 등도 맛볼 수 있다. 큰나무집의 모든 음식은 화학조미료를 첨가하지 않고 오로지 자연에서 얻은 재료로 고유의 비법과 정성을 다하여 만든다.",053-793-2000,,,주차가능,0,,11:00 - 21:00,명절 당일,궁중약백숙,"도리탕, 간장찜닭, 도리탕 김치찜",,,가능,가능,가능,"화장실:남녀 구분 내부
",20080188133
하늘천따지 본점,41000,,,대구광역시 동구 서촌로 129(송정동),35.9855518223,128.6215904753,"하늘천따지 본점은 오리 요리를 전문으로 하는 음식점이다. 대표 메뉴는 생오리를 숯불에 구워서 손님상에 내는 생오리 숯불구이다. 이 밖에 생오리 불고기 양념, 오리 훈제 바비큐 등도 맛볼 수 있다. 내부에 단체석이 마련돼 있으며, 예약도 가능하다. 전용 주차장이 있어서 주차에 불편함이 없다. 인근에 팔공산이 자리 잡고 있어 식전이나 식후에 등산을 즐기기에 좋다.",053-982-6190,,,주차가능,0,,10:00 - 22:00,매주 월요일,생오리 숯불구이,"생오리 불고기 양념, 오리 훈제 바비큐",,,가능,,가능,,20050160240
정미네식당,42931,,,대구광역시 달성군 가창면 헐티로2길 26,35.7475080865,128.5543502444,불향 가득한 돼지불고기로 유명한 맛집이다. 대구에 사는 사람들은 도심을 벗어나 가창으로 나들이를 나갈 때 들러 보기 좋다. 대구뿐 아니라 전국 각지에서 찾아오는 관광객도 많다. 대표 메뉴인 돼지불고기 외에도 육수가 진하고 면발이 쫄깃한 칼국수가 별미다. 오전 11시에 문을 열고 오후 8시에 마감한다. 휴무는 매주 화요일이다.<br>*사진 출처: 대구시 달성군청 공식 블로그 '달성에 꽃피다',053-767-8522,,,있음,0,,11:00-20:00,매주 일요일,돼지불고기,"돼지불고기, 닭불고기, 감자전, 칼국수 등",,,없음,,,,20170188373
카페담,42990,,,대구광역시 달성군 유가읍 유가사2길 15,35.7149524387,128.5000725841,카페담은 비슬산 자락에 있다. 이 덕분에 번잡한 도심에서 벗어나 자연과 함께 여유를 즐기기에 좋다. 카페 옆에는 시원한 물이 흐르는 계곡이 있다. 이 덕분에 계곡의 경치를 즐기며 맘에 드는 음료는 마실 수 있다. 매일 오전 9시 30분에 문을 열기 때문에 모닝커피를 마시기에도 좋다. 마감은 오후 9시 30분이다.<br>*사진 출처: 대구시 달성군청 공식 블로그 '달성에 꽃피다',053-614-5197,,,있음,0,,월-금 09:30 ~ 20:00<br>토-일 09:30 ~ 21:00,연중무휴,아메리카노,각종 음료,,,없음,가능,,"화장실:있음
부대시설:유아놀이방
",
큰기와집,41000,,,대구광역시 동구 서촌로 106(송정동),35.9842658986,128.6237986496,"큰기와집은 팔공산 인근에 자리 잡고 있다. 이 덕분에 식전이나 식후에 팔공산 관광을 겸해 이곳을 찾는 사람이 많다. 대표 메뉴는 갖가지 한약재와 오리가 어우러진 한방오리백숙이다. 이 밖에 한방토종닭백숙, 닭도리탕, 해물닭찜 등도 맛볼 수 있다. 모든 메뉴는 포장이 가능하다. 내부에는 단체석이 마련되어 있어 각종 모임을 하기에 좋고, 예약도 가능하다. 반려견도 함께 출입할 수 있다. 단, 목줄 착용과 배변 봉투 소지는 필수다.<br>*사진 출처: 대구시 동구청",053-956-0667,,,있음,0,,11:00 - 21:00,화요일,한방오리백숙,"한방토종닭백숙, 닭도리탕, 해물닭찜",,,가능,가능,가능,"화장실:남녀 구분
",20130160065
황토시골집,41001,,,대구광역시 동구 파계로 604(중대동),35.9841883622,128.6364003188,"황토시골집은 20여 년 전 24시간 포장마차로 시작해 조금씩 확장을 거듭했다. 현재는 원적외선이 방출되는 황토로 이루어진 대규모 음식점으로 유명하다. 이곳에서는 텃밭에서 직접 기른 제철 채소, 천연 재료로 만든 각종 양념 등으로 음식을 요리한다. 대표 메뉴는 오리양념불고기다. 이 밖에 닭백숙, 오리 백숙, 닭볶음탕 등도 맛볼 수 있다. 이 덕분에 언제든 원하는 시간에 식사를 할 수 있다.<br><br>*사진 출처: 대구시 동구청",053-982-2002,,,주차가능,0,,10:00 - 21:40,연중무휴,오리양념불고기,"옻닭, 백숙 등",,,가능,,,,20080160036
버들식당,42670,,,대구광역시 달서구 두류공원로28길 8(성당동),35.8479636186,128.5668074763,"버들식당은 KBS 2TV 생생정보통 등 여러 방송에 소개된 맛집이다. 대표 메뉴는 환상의 맛 전골이다. 곱창, 대창, 불고기가 어우러진 전골로, 느끼하지 않으며 적당히 자극적인 맛이다. 이밖에 곱창전골, 대창전골, 한우불고기전골 등도 맛볼 수 있다. 쉬는 날 없이 매일 정오부터 오후 10시까지 영업한다. 모든 메뉴는 포장이 가능하다.<br>*사진 출처: 대구달서구청",053-656-1991,,,있음,0,,12:00 - 22:00(브레이크 타임 15:00 ~ 17:00),연중무휴,환상의 맛 전골,"곱창전골, 대창전골, 한우불고기전골",,,가능,가능,,"화장실:있음(남/녀 구분)
",20170181427
가마솥에 누른 밥,41000,,,대구광역시 동구 서촌로23길 13-11(덕곡동),35.9841102996,128.6205183884,가마솥에 누른 밥의 대표 메뉴는 숯불에 구워 담백한 맛이 일품인 숯불 오리다. 이곳을 방문하는 사람들은 대개 숯불 오리에 버섯을 추가해 구워 먹으며 곤드레밥을 주문해 함께 먹는다.<br>내부에는 단체석이 마련되어 있어 각종 모임을 하기에 좋다.<br>*사진 출처: 대구시 동구청,053-986-5233,,,주차가능,0,,매일 11:30 - 21:00,연중무휴,숯불오리,곤드레밥,,,가능,,,,20050160463
동림식당,41001,,,대구광역시 동구 파계로116길 49(중대동),35.9862103755,128.6374557244,"동림식당은 팔공산 인근에 자리 잡고 있다. 이 덕분에 팔공산 관광을 겸해 이곳을 찾는 사람이 많다.이곳의 대표 메뉴는 손칼국수다. 이 밖에 잔치국수, 촌두부, 찜닭 등을 맛볼 수 있다.음식점은 쉬는 날 없이 매일 오전 10시 영업을 시작해 오후 10시에 문을 닫는다. <br><br>*사진 출처: 대구시 동구청",053-982-2860,,,,0,,10:00 - 22:00,연중무휴,손칼국수,"잔치국수, 촌두부, 찜닭",,,가능,,,,19920160019
제일콩국,41972,,,"대구광역시 중구 남산로6안길 47(남산동,로하스남산)",35.8569185174,128.5861694108,"제일콩국은 여러 TV 프로그램에 출연한 맛집이다. 간단한 식사나 간식으로 먹기에 좋은 콩국과 토스트를 먹을 수 있는 곳이다. 콩국에는 인절미와 밀가루 튀김이 들어있는데 고소한 맛을 더해주어 맛이 좋다. 수타 돈가스도 바삭바삭하고 두툼하여 인기다. 이 밖에 비빔국수, 잔치국수 등도 맛볼 수 있다. 모든 메뉴는 포장이 가능하다. 오전 7시에 문을 열어 자정까지 영업한다. 덕분에 아침식사부터 야식까지 두루 즐길 수 있다.",053-253-4863,,,"주차가능 (주말, 공휴일 1시간 무료)",0,,07:00 - 24:00,매주 목요일,콩국,"토스트, 수타 돈가스",,,가능,가능,,,20120158031
유창반점,41965,,,대구광역시 중구 명륜로 20(남산동),35.8645121489,128.5886856445,"유창반점 본점의 대표 메뉴인 중화비빔밥은 오징어와 소고기에 불맛을 입힌 후 채소, 양념을 넣고 볶은 밥이다. 중독성 깊은 맛을 내는 덕분에 계속 숟가락을 들게 만든다.  생활의 달인, 식객 허영만의 백반기행, 생생정보 등 많은 TV 프로그램에 소개된 바 있다. 게다가 대구 토박이들 사이에서 맛집으로 소문난 곳이라 항상 손님이 넘친다.",053-254-7297,,,,0,,매일 11:00 - 19:00,명절당일 휴무,"중화비빔밥, 중화비빔면",각종 중화요리,,,가능,,,"화장실:가능
",20200159684
후꾸스시,42177,,,대구광역시 수성구 동대구로20길 66(지산동),35.8381186367,128.6279079249,"후꾸스시는 대구시 수성구 지산동에 자리 잡고 있다. 대표 메뉴는 광어, 연어, 아카미, 밀치, 방어, 호타테, 장어, 왕생새우 등으로 초밥을 만든 후꾸스페셜 스시다. 이 밖에 광어, 연어, 참치 속살, 참치 뱃살, 참돔, 메카, 생새우로 초밥을 만든 후꾸를 비롯해 후한, 꾸밈, 후꾸 정식 등을 판다. 내부에는 단체석이 마련되어 있어 각종 모임을 하기에 좋다.",0507-1390-7989,,,있음,0,,"화요일~토요일 11:30 - 20:30 (브레이크 타임 14:30 - 17:30 라스트오더 14:00, 20:00) / 일요일 11:30 - 14:30 (라스트오더 14:00)","월요일, 명절 연휴",후꾸스페셜 스시,"후꾸, 후한, 코보레스시",,,없음,,,,20150174533
퀸즈크라운베이커리카페,41824,,,대구광역시 서구 서대구로 118(평리동)퀸즈크라운베이커리카페,35.8685499711,128.5556412216,"퀸즈크라운베이커리카페는 대구시 서구 평리4동에 자리 잡고 있다. 대표 메뉴는 마늘 바케트와 페스츄리앙버터 등 각종 베이커리다. 이곳의 빵은 유기농 밀가루를 천연 발효 시켜 만들며, 당일 생산과 당일 판매를 원칙으로 하고 있다. 베이커리 종류 이외에 각종 음료도 판다. 내부에는 단체석이 마련되어 있어 각종 모임을 하기 좋다.",053-567-8080,,,있음,0,,08:00 - 24:00,없음,각종 베이커리,각종 음료,,,없음,,,,20200164246
양곱화,42169,,,대구광역시 수성구 들안로 80(두산동),35.8370907769,128.6171533445,"양곱화는 대구시 수성구 두산동에 자리 잡고 있다. 대표 메뉴는 한우 대창구이다. 이 밖에 한우 곱창구이, 특양구이, 돌곱창전골, 오돌 갈비를 판다. 내부에는 단체석이 마련되어 있어 각종 모임을 하기에 좋고, 예약도 가능하다. 오후 5시 30분부터 오후 10시까지 영업한다.",053-753-3107,,,있음,0,,17:30 - 22:00,없음,한우대창구이,"한우곱창구이, 특양구이, 돌곱창전골, 오돌갈비",,,없음,,,,20020174136
앞산분식,42492,,,대구광역시 남구 앞산순환로 383-6(대명동),35.8324848350,128.5678911439,"앞산분식은 대구시 남구 대명동에 자리 잡고 있다. 대표 메뉴는 통통한 새우살을 가득 넣은 에비산도다. 이 밖에 갈릭 로제 국물 떡볶이, 맥앤치즈 국물 떡볶이, 소불고기 한쌈 김밥, 홍게살샐러드 지단김밥 등을 판다. 모든 메뉴는 포장이 가능하다. 내부에는 단체석이 마련되어 있어 각종 모임을 하기에 좋고, 예약도 가능하다.",053-628-0077,,,있음,0,,10:00 - 20:30 브레이크타임 15:30~16:30,없음,에비산도,"갈릭 로제 국물떡볶이, 맥앤치즈 국물떡볶이, 소불고기 한쌈김밥, 홍게살샐러드 지단김밥",,,없음,,,,20190167301
아눅앞산,42490,,,대구광역시 남구 앞산순환로 459(대명동),35.8323072121,128.5752071709,"아눅앞산은 대구시 남구 대명동에 자리 잡고 있다. 대구 시내를 조망할 수 있는 위치에 있다. 대표 메뉴는 이곳의 스페셜 커피인 시즈널 스폐셜이다. 이 밖에 프렌치토스트, 에티오피아, 코스타리카, 카페라테, 바닐라라테, 나눅샤케라또, 크림코르타도, 아포가토 등을 판다. 내부에는 단체석이 마련되어 있어 각종 모임을 하기 좋다.",0507-1422-1060,,,있음,0,,"10:00 - 22:00, 브런치 10:00 - 17:00","설날, 추석 당일",시즈널 스폐셜,"프렌치토스트, 에티오피아, 코스타리카, 카페라떼, 바닐라라떼, 나눅샤케라또, 크림코르타도, 아포가토",,,없음,,,,19800166005
산엘아르카,42990,,,대구광역시 달성군 유가읍 휴양림길 416,35.7021426892,128.4953427971,"산엘아르카는 대구시 달성군 유가읍에 자리 잡고 있다. 대표 메뉴는 브런치 산 플레이트다. 이 밖에 상하이 크랩 파스타, 베이컨 까르보나라, 김치 필라프, 새우 필라프, 삼겹 스테이크, 트러플 감자튀김, 각종 음료 등을 판다. 오전 10시부터 오후 9시까지 영업하며, 식사 마지막 주문은 오후 8시까지 받는다. 매달 마지막 주 월요일은 쉬는 날이다.",0507-1339-4089,,,있음,0,,10:00~21:00,월요일,브런치 산 플레이트,"상하이 크랩 파스타, 베이컨 까르보나라, 김치 필라프, 새우 필라프, 삼겹 스테이크, 트러플 감자튀김, 각종 음료",,,없음,,,,20200189272
갈비만대구본점(갈비만),42754,,,대구광역시 달서구 조암로 58(월성동),35.8243321674,128.5237091503,"갈비만대구본점(갈비만)은 대구시 달서구 월성동에 자리 하고 있는 갈비 전문점이다. 음식점 내부는 외부에서 보는 것 만큼 넓어 많은 고객들을 수용할 수 있다. 단체석이 마련되어 있어 각종 모임을 하기에 좋고, 예약이 가능하다.	대표 메뉴는 최상급 돼지갈비 목살에 과일과 채소로 만든 양념을 입혀 참숯에 구워 먹는 ‘갈비만’ 갈비이다. 이 밖에 한돈 폭립양념갈비, 숙성 생삼겹살, 우대 갈비, 한우 암소 갈비살, 한우 암소 생육회 등을 판다.",053-634-9233,,,가능,0,,주중 11:30~22:30 (브레이크타임 14:00~16:30)<br>주말 11:30~22:30 (브레이크타임 없음),연중무휴,갈비만갈비,"한돈 폭립양념갈비, 숙성 생삼겹살, 우대 갈비, 한우암소 갈비살, 한우암소 생육회",,,없음,,,,20100182037
데우스커피,42176,,,대구광역시 수성구 동대구로14길 15-6(지산동) 2층,35.8372936811,128.6252526257,"데우스커피는 대구시 수성구 지산동에 자리 잡고 있다. 대표 메뉴는 플랫 화이트다. 이 밖에 아인슈패너, 아메리카노, 카페 라테, 바닐라 라테, 당근케이크, 크루아상, 까눌레 등을 판다. 쉬는 날은 매주 월요일이다.",0507-1434-2222,,,있음,0,,11:00~22:00,"월요일, 명절 당일",플랫 화이트,"아인슈패너, 아메리카노, 카페 라떼, 바닐라 라떼, 당근케이크, 크루아상, 까눌레",,,없음,,,,20180175694
보스턴커피(보스턴),41144,,,대구광역시 동구 방촌로 58(검사동),35.8854388643,128.6594454952,"보스턴 커피는 대구시 동구 검사동에 자리 잡고 있다. 대표 메뉴는 에스프레소에 우유와 크림이 더해진 피케다. 이 밖에 아메리카노 반코, 아메리카노 골드메달 트리니티, 아메리카노 살바토레, 핸드드립 빌리웍스, 핸드드립 반코, 카페라테 등을 판다. 내부에는 단체석이 마련되어 있어 각종 모임을 하기 좋다.",0507-1410-1239,,,있음,0,,10:00 - 21:00,없음,피케,"아메리카노 반코, 아메리카노 골드메달 트리니티, 아메리카노 살바토레, 핸드드립 빌리웍스, 핸드드립 반코, 카페라떼 등",,,없음,,,,20200161417
