명칭,우편번호,관리자,전화번호,주소,위도,경도,개요,문의 및 안내,규모,수용인원,이용시간,쉬는날,이용요금,할인정보,관람소요시간,주차시설,주차요금,유모차 대여 여부,애완동물 동반 가능 여부,신용카드 가능 여부,상세정보
낙동강승전기념관,42502,,,대구광역시 남구 앞산순환로 574-110,35.8271386024,128.5887866745,"낙동강에는 겨레를 지키는 거룩한 힘이 굽이치고 나라를 통일한 높은 뜻과 슬기가 서려있다. 6.25 동란때 동족을 배반한 붉은 무리들의 총부리도 이 강줄기에 이르러 여지없이 꺽이고 말았다.<br>낙동강 승전기념관은 6.25 한국전쟁 당시 조국수호의 마지막 보루였던 낙동강 방어선에서 침략군들을 물리친 역사적 승리를 기리고 당시 조국에 바친 충성스러운 선열들의 얼을 받들며, 국민들의 호국안보 의식을 드높이고자 1979년 6월 25일 개관하였다. 이 기념관은 다시 대구, 경북 시, 도민의 정성어린 성금으로 세워진 것이다. 특히, 6.25를 겪어보지 못한 전후세대들에게는 전쟁의 참상을 올바로 일깨워 주고 호국안보의식을 고취시켜줄 정신무장의 수련도장으로 활용되고 있다.

* 개관일 : 1979년 6월 25일",,"부지 10,990㎡ (3,294평) / 연건평 2,050㎡ (620평)",1일 평균 800명 내외,10:00~17:00,연중무휴,무료,,,주차가능,,없음,불가,없음,"소장품현황:* 실내 - 총기류 85점, 실탄 391점, 사진 555점, 책자 219점, 병참류 58점<br>
* 실외 - 전투기 2대, 포탄 3점, 장갑차 2대, 탱크 1대
"
대구오페라하우스,41585,,,대구광역시 북구 호암로 15(칠성동2가),35.8834739558,128.5922514697,"문화의 도시 대구광역시는 전국에서 처음으로 시정 산하에 대구오페라하우스를 개관함으로 아름답고도 웅장한 음악예술의 결정체를 집합시키는 전용공간을 마련했다. 음향시스템과 조명 등 최첨단 시설과 450여 평의 이동식 변환무대는 말발굽 모양의 1,508석의 객석과 조화를 이루어 쾌적한 감상 여건을 조성하였고, 외관 또한 화려하고 경쾌한 유리재질로 곡선처리를 하여 그랜드 피아노 형상의 지붕과 함께 예술적인 아름다움을 한껏 연출하고 있다.<br /><br />

대구오페라하우스에서는 '대구국제오페라축제'를 비롯하여 음악회, 뮤지컬, 발레 공연 등 다양한 장르의 공연이 이어져서 시민들에게 오페라 예술에 한 걸음 다가가는 계기를 마련하고 있다. <br /><br />

* 대구오페라 하우스의 주요시설 *<br />
대구오페라하우스는 지하2층, 지상 4층의 건물로 구성되어 있다. 지하1층에는 분장실, 연습실, 관혁악단실, 무대계원실, 휴게실 등으로 구성되어 있다. 지상1층은 무대, 객석, 로비, 카페, 분장실, 조정실 등이 있으며, 지상2층에는 객석홀, 판매시설, 사무실, 영사실, 오페라단실 등이 조성되어 있다. 지상3층과 4층은 각각 객석홀, 연습실, 공조실, 방송실과 객석홀, 공조실, 음향기기실로 구성된다.<br /><br />

* 개관일 : 2003년 8월 07일",,"대지면적 8,659,42㎡ (2,619,47평) / 건축면적 4,705,96㎡ (1,423,55평) / 연면적 17,189,28㎡ (5,199,76평) / 지하 2층, 지상4층 (건물높이 - 34.1m)","1,508석(장애인석 16석 포함)",공연에 따라 다름,연중무휴,공연에 따라 다름,,,주차 가능 (대구삼성창조캠퍼스 유료주차장 이용),"공연관람객 2시간 무료주차 (공연당일 대구오페라하우스 홍보관 안내데스크에서 등록요청)<br />
2시간 초과 시, 15분당 500원의 추가요금 부과",없음,불가,가능,"사업내용:기획공연 '아하!오페라', '우리오페라 우리아리아' 및 대구국제오페라페스티벌 공연 등
대관안내:대관문의 053-666-6060
예약안내:홈페이지 또는 전화예약 (053-666-6000)
"
국채보상운동기념도서관,41939,,,대구광역시 중구 공평로10길 25 대구광역시립중앙도서관,35.8684841619,128.6017371619,"* 21세기정보화시대의 선봉자, 국채보상운동기념도서관 *
21세기는 초고속 정보화 시대로 정보의 중요성은 더욱 강조되는 반면 폭증하는 정보원으로부터 적합한 정보를 찾는 일은 더욱 힘들어지고 있다. 국채보상운동기념도서관은 지역의 대표적인 지식 정보 제공 기관으로서 지역 주민들이 원하는 정보와 자료를 신속하고 정확하게 접할 수 있도록 노력하고 있다. 

국채보상운동기념도서관에서는 미소와 작은 기쁨이 있는 생활문화기관으로서, 나아가 지역주민과 함께 성장 발전할 수 있는 지역 사회의 평생교육기관으로 자리매김하고 있다. 또한, 지역주민을 위한 다양한 문화 프로그램을 운영 중이다. 관외대출회원가입, 관내열람 및 관외대출, 관내.외 자료검색, 참고질의 및 자료복사 안내, 독서회 운영, 문화강좌 등의 사업을 진행하고 있다.",,"부지 10,260㎡, 건물연면적 10,396㎡",,[임시자료실]<br>평일 09:00~22:00 / 주말 09:00~17:00,"매월 첫째, 셋째 월요일 및 관공서 공휴일 (일요일과 겹칠 경우 휴관), 관장이 필요하다고 인정하는 날",,,,주차 가능,,없음,불가,없음,"사업내용:관외대출회원가입, 관내열람 및 관외대출, 관내.외 자료검색, 참고질의 및 자료복사 안내, 독서회 운영, 문화강좌 등
"
대구광역시립남부도서관,42501,,,대구광역시 남구 앞산순환로 512(대명동),35.8320462318,128.5807428018,"*문화와 지식의 공유를 꾀하는 대구광역시립남부도서관 *
1995년 12월 개관한 대구광역시립 남부도서관은 대구 남구에 위치해 있다. 시민들의 독서와 문화교육을 담당할 뿐만 아니라 생활정보, 취업정보, 교과관련 정보 등 모든 정보의 집산지로서 지역사회의 큰 일익을 담당하고 있다. 다문화가정, 저소득층, 어린이, 장애인, 50세 이상 일반시민 등 소외계층을 대상으로 특색사업을 운영하여 지식정보와 문화의 격차를 해소하기 위해 지속적으로 노력하고 있다. 
<br /><br />
지상 4층 건물로, 대지 18,082㎡, 건물 연면적 7,533㎡이며, 장서는 304,047권이다. 시설현황을 살펴보면 종합자료실에는 총류, 철학, 종교, 사회과학, 순수과학, 기술과학, 예술, 문학, 역사, 참고도서, 지도자료, 전자정보 자료 등을 구비하고 있다. 어린이열람실에는 아동도서, 아동잡지, 신문 등을 보관하고 있으며, 정기간행물실에는 각종 잡지, 신문, 비도서, 논문 등의 정기간행물 등을 비치하고 있다. 일반열람실은 5개가 있으며, 이밖에 시청각실, 노인실, 교양강좌실, 장애인실 등이 마련되어 있다. 

* 지역 주민을 위해 다양한 문화사업을 추진 *
지역 주민의 교양증진과 각종 취미생활을 통하여 건전한 사회풍토 조성과 독서인구 저변확대를 위해 교양강좌 개설, 독서토론회 및 이동도서관 운영, 어린이 및 청소년 문화 극장 운영, 서예·영어회화·일본어회화·단전호흡·다도· 꽃꽂이·컴퓨터강좌 등 여러 문화사업을 활발히 전개하고 있다.

* 대출정보 : 대출권수 1인 10권, 15일",,"부지 18,082㎡, 건물 7,533.05㎡",,"[일반열람실] 07:00~22:00<br />
[종합자료실/연속간행물실/디지털자료실]<br />
평일 09:00~19:00 / 주말 09:00~17:00<br />
[어린이자료실/장애인실,어르신방/중국문화정보실]<br>
평일 09:00~18:00 / 주말 09:00~17:00","매월 둘째, 넷째 월요일/ 국정공휴일 / 관장이 필요하다고 인정하는 날",무료,,,주차 가능,,없음,불가,없음,
작은 중앙가족박물관(한방개인박물관),41934,,,대구광역시 중구 중앙대로77길 50-5(장관동),35.8686617201,128.5909297757,"350년 대구 약령시에서 3대, 90여년에 걸쳐 한약 외길을 걸어오고 있는 한약집안으로 조부때부터 사용해 오던 저울, 사발, 필사본의서, 처방전 등을 전시하고 있으며, 방문하시는 분들께 중앙한약방에서 직접 제조한 건강한방약차를 제공해드리고 있다. 국내외 방문객들에게 단순한 역사의 나열을 넘어  현재도 이어지고 있는 살아 숨쉬는 한약의 역사, 집안내력, 정신 등을 엿볼 수 있는 장소이다. 또한 방문객들은 본인의 건강상담을 받아볼 수 있다.<br />
* 개관일 2011년 4월 25일
<br>",,15평 규모,60명/일,10:00~18:00,"일요일, 공휴일",무료,,15분 내외,인근 공영주차장 이용,유료,없음,불가,가능,"체험프로그램:한약금구슬만들기 체험 등
외국인 예약안내:사전 연락통해 예약 가능
예약안내:가능
외국어 안내서비스:일본어, 영어, 중국어 가능
예약안내:사전 연락통해 예약 가능
"
관덕정 순교기념관,41967,,,대구광역시 중구 관덕정길 11(남산동),35.8651399000,128.5911187461,"대구 교구는 일찍이 관덕정 형장에서 순교하신 분들과 대구 감영에서 옥사하신 분들의 정신을 기리기 위해 순교자 현양성당을 건립하려 하였으나 재정이 여의치 않아 미뤄오다가 1966년 병인박해 100주년을 기하여 대구시 동구 신천3동 850-3번지에 1970년 복자 성당을 준공하고, 1973년 울산의 병인박해 순교자 허인백 야교보, 김종륜 루가, 이양등 베드로의 유해를 감천리 묘지에서 신천(복자) 성당으로 옮겨 모시고, 특히, 복자성월에 전 교구 신자들이 순교자의 정신을 기려 왔었다.",,,,09:30~17:00,"매주 월요일, 부활절 당일, 성탄절 당일, 설/추석 연휴",,,,주차 가능(대형관광버스 주차 불가),,없음,불가,없음,"예약안내:단체 관람시 순례신청 후 방문(2주 전 예약 권장)<br />
※ 홈페이지 및 전화(053-254-0151)
"
향토역사관,41924,,,대구광역시 중구 달성공원로 35(달성동),35.8734025733,128.5759198549,"향토역사관은 우리고장의 역사, 민속, 생업과 관련된 유물자료와 선현, 선열의 유품자료를 수집, 상설전시를 통하여 향토의 문화유산을 알고 이해하여 문화시민의 자긍심을 고취함과 동시에 향토애를 배양하고 자라나는 세대들에게 역사교육장의 역할을 하기 위하여 설치되었다.",,269평,,09:00 ~ 18:00,"매주 월요일, 1월 1일, 설/추석 당일",무료,,,인근 공영주차장 이용,,없음,불가,없음,
경북대학교자연사박물관,39033,,,대구광역시 군위군 효령면 경북대로 2228,36.1214827951,128.5769683751,"경북대자연사박물관은 2004년 5월 6일, 경상북도 군위군에 개관하여 자연계를 이루고 있는 동․식물, 광물뿐만 아니라 지학과 인류의 역사 등 이와 관련된 자료를 수집, 연구, 전시하고 있다. 이를 통해 대중에게 자연에 대한 지식과 정보를 제공함으로써 자연에 대한 올바른 이해를 돕는 공간이 되고자 한다. 또한 경북대자연사박물관은 지역 국립대학의 부속기관으로서 사회 환원을 위한 역할을 보다 충실하게 수행하기 위하여 노력하고 있다.<br>",,"임야 1,304.72727㎡<br>
대지 6.330579㎡<br>
연건평 998.347107㎡<br>
전시실 661.157025㎡",약 200명 수용 가능,화요일~일요일 10:00~17:00,"매주 월요일, 법정공휴일, 설, 추석연휴 휴관",무료,,,주차 가능,무료,없음,불가,없음,"소장품현황:지질 및 암석표본 10,100점, 어류 액침 및 건조표본, 1,520점, 포유류 및 조류 박제표본 200점, 갑각류 액침표본 30점, 곤충 건조표본 47,000점, 식물 건조표본 4,200점 및 기타 액침표본 310여 점 등 총 63,360여 점
예약안내:전화 예약 가능 054-383-7026<br />
※ 단체(10인 이상)의 경우 쾌적한 관람 환경을 위해 방문 전 전화 예약 필수
외국인 예약안내:전화 예약 가능 054-383-7026<br />
※ 예약기간 - 예약일 한달전부터 예약 접수 가능
한국어 안내서비스:요청시 가능<br />
※ 학예사 근무 상황에 따라 변동(전화 확인 필수)
"
삼국유사교육문화회관,39013,,,대구광역시 군위군 군위읍 군청로 158,36.2374751131,128.5739986953,"삼국유사교육문화회관은 다목적극장(457석)과 청소년의 다양한 놀이 및 취미생활공간인 청소년 문화의 집(음악연습실, 문학창작실, 문화사랑방, 소강당, 광장, 인터넷 샵)이 있다.  그리고 조상유품 전시관인 숭덕관과 여성교양강좌 및 취미생활을 위한 여성회관이 있으며 그 외에도 야외공연장, 유아놀이방, 어르신 사랑방, 음악 분수대 등 다양한 계층의 문화생활을 위한 공간이 마련되어 있으며 바로 옆에는 체육 활동을 위한 국민체육센터(수영장, 헬스장, 조깅장, 탁구장, 실내골프장, 테니스장, 배드민턴장 등)가 있는 문화, 예술, 체육 활동의 중심지이다.<br /><br />* 개관일 : 2007년 9월 5일<br>",,"부지면적 : 19,904㎡, 건축연면적 : 7,306㎡(지상5, 지하1층)<br />
전시면적 : 530㎡(5층 530㎡)",다목적극장(대공연장) 457석,공연에 따라 다름,,공연에 따라 다름,,공연에 따라 다름,주차 가능(170대),무료,불가,가능,가능,"예약안내:홈페이지를 통하여 예약 가능
대관안내:공연장, 야외공연장, 전시실 대관 가능<br />
문의 054-380-7212
"
"아양아트센터(구, 동구문화체육회관)",41179,,,대구광역시 동구 효동로2길 24(효목동),35.8793255226,128.6516463528,"아양아트센터(구, 동구문화체육회관)는 문화, 교육 그리고 체육을 통해 동구민들이 풍요로운 삶을 살도록 하기 위해 공연, 전시, 문화강좌, 체육센터 등 다양한 시설을 갖추고 있다. 대공연장(1,165석), 가변형 블랙박스 극장(200석), 야외공연장(400석), 놀이마당 등의 공연장과 전시실, 문화예술 강의 시설과 웨딩홀 그리고 수영, 헬스클럽 등 건강증진을 위한 체육센터가 있다. 2013년 3월 1일 동구문화체육회관에서 아양아트센터로 명칭이 변경되었다.<br /><br />* 개관일 2004년 5월 4일<br>",,"부지면적 : 25,057㎡ (7,579평)<br />
연면적 : 11,680㎡ (3,533평)<br />
건물면적 : 4,989㎡ (지하2층/지상3층)","대공연장 1,100석, 가변형 블랙박스 극장 200석, 야외공연장 400석, 놀이마당 400석","평일 06:00 ~ 22:00<br />
주말 06:00 ~ 18:00",연중무휴,,,,주차 가능(173면),"제1주차장 - 회원전용<br />
제2주차장 - 회관 이용객에 한해 무료 개방",불가,불가,가능,"사업내용:공연, 전시, 문화강좌, 스포츠 시설
대관안내:[대관문의]<br />
- 아양홀, 야외공연장 : 문의 053-230-3352<br />
- 아양갤러리, 아양뷰갤러리 : 문의 053-230-3312<br />
- 예식홀 : 문의 053-944-5400<br />
- 체육관 : 문의 053-230-3334
"
달서아트센터,42699,,,대구광역시 달서구 문화회관길 160(장기동),35.8435133161,128.5229809055,"지역민의 문화예술향유 기회확대와 건강하고 여유로운 삶을 위해 문화예술복합시설로 2004년 4월 최초 개관하였으며, 2014년 4월 (재)달서문화재단으로 새롭게 출범하였다. 주요시설로는 공연장인 청룡홀 455석, 와룡홀 212석, 야외공연장(1,200㎡)과 두류갤러리(335㎡),  작은도서실, 컴퓨터실(35대), 예술아카데미 10개 강의실,수영장(25M, 6레인) 등을 갖추고 있어 다양한 문화예술 활동을 지원하고 있다.
기존 웃는얼굴아트센터에서 달서아트센터로 명칭이 변경되었다 (2021.12.21)",,"부지면적 18,815㎡, 건축연면적 9,230㎡ (본관 6,248㎡, 별관 2,982㎡) <br />
규모 - 본관: 지하1층 지상3층, 별관: 지하1층 지상2층","청룡홀 455석, 와룡홀 212석",09:00~22:00,설/추석 당일,,,,주차 가능,무료,없음,불가,가능,"사업내용:특별기획공연, 가족뮤지컬 정기공연, 기획전시, 열린미술체험마당, 문화강좌 등
예약안내:전화/홈페이지 예약 가능
한국어 안내서비스:가능
대관안내:공연장 및 전시장 대관 가능 <br />
* 문의 : 공연장 053)584-8719 전시장 053)584-8720
"
계명아트센터,42601,,,대구광역시 달서구 달구벌대로 1095,35.8557918555,128.4888835704,"계명아트센터는 총면적 1만㎡에 지상3층, 지하2층 규모로 객석 1,954석을 갖춘 최첨단 테크놀러지의 결정체로서 오페라, 뮤지컬, 같은 대규모 종합공연은 물론, 각종 콘서트와 연극, 무용 등 다양한 공연을 소화해 낼 수 있다. 2008년 10월 개관하여 다양한 계층의 관객들과 소통하고 대구시민의 문화 향수권을 신장하는데 이바지하고 있으며 희망나눔시리즈, 오페라, 드라마 등과 같은 사회환원 프로그램과 교육프로그램도 기획하고 있다.<br /><br />* 개관일 : 2008년 10월 9일<br>",,"건축면적 4,389㎡ / 바닥면적 9,816㎡","1,954석",공연에 따라 다름,,공연에 따라 다름,공연에 따라 다름,공연에 따라 다름,"주차 가능(지하 316대, 옥외 116대)","2,000원",없음,불가,가능,"사업내용:오페라, 희망나눔시리즈, 오페라는 드라마 등 사회환원 프로그램과 교육프로그램 기획
체험프로그램:Back Stage Tour / 무료 / 공연장이 지정하는 날짜에 체험 가능
예약안내:공연에 따라 안내되는 예매사이트를 통하여 예매가능
한국어 안내서비스:가능
외국어 안내서비스:가능
대관안내:대관문의 053-580-6611
외국인 예약안내:공연에 따라 안내되는 주관사로 전화예매가능
"
달성 한일우호관,42940,,,대구광역시 달성군 가창면 우록길 206,35.7233680767,128.6471510842,"달성 한일우호관은 김충선 장군(일본 명 沙也可(사야가), 1571~1642)의 ‘박애사상’을 기리고 한국과 일본 양국의 우호증진을 위해 2012년 5월 3일 개관을 하였다.김충선은 임진왜란 당시 좌선봉장으로 참전하였다가 조선의 문화에 감동하여 자신의 부하들과 함께 조선에 귀순하여 조총제작 기술을 전수하고 경주, 울산 전투에서 큰 공을 세운 인물이다. 현재 달성 한일우호관에는 김충선 장군의 정신을 기리기 위해 많은 일본인들이 방문하고 있으며, 우리나라 학생들과 역사를 바르게 알리고자하는 학부모 중심으로 많은 관광객이 방문하고 있다. 전시관, 3D상영관, 다도실, 유물전시, 한일 양국 전통놀이 시현장, 일본 와카야마현 자료실, 국궁 체험장 등 다양한 시설을 무료로 이용할 수 있다.<br>",,부지 4198㎡(지상 2층),,"하절기(3~10월) 09:00~18:00<br />
동절기(11~2월) 09:00~17:00","매주 월요일, 신정, 설/추석 당일",무료,,,주차 가능,무료,없음,없음,없음,"체험프로그램:3D 동영상, 전자방명록, 전통 다도, 전통 의복 체험 등
예약안내:예약문의 053-659-4490<br />
※ 단체예약은 반드시 전화문의
"
대구미술관,42250,,,대구광역시 수성구 미술관로 40 대구미술관,35.8270707445,128.6743652541,"대구미술관은 대구광역시가 지원하는 시립미술관이다. 대구근현대미술의 역사적 가치를 연구하고 이를 재조명하여 대구미술의 전위성을 알릴 수 있는 전시뿐만 아니라 국내,외 교류를 통해 동시대의 사회적 예술적 이슈와 세계 미술의 선도적 흐름을 소개하는 전시들을 기획해 선보이고 있다. 또한, 우수한 명사 초청 강연은 물론 어린이, 청소년 등 다양한 연령대의 시민들이 참여할 수 있는 아카데미프로그램을 비롯해 미술관 공간과 어우러지는 다채로운 공연들과 각종 이벤트 행사도 진행하고 있다. 미술관 3층에는 예술관련 서적들을 접할 수 있는 미술정보센터와 휴식을 취할 수 있는 라운지가 마련되어 있다.<br /><br />* 개관일 : 2011년 5월 26일<br>",,"대지면적 71,202㎡<br />
건축면적 8,807.27㎡<br />
연면적 21,701.44㎡<br />
전시면적 5,168.12㎡","5,000명 수용 가능",10:00 ~ 19:00,매주 월요일(월요일이 공휴일인 경우 그 다음 평일 휴관),"※ 전시에 따라 변동될 수 있음<br />
개인 - 성인(20세~65세) 1,000원 / 청소년(14세~19세), 하사 이하의 군인 700원 / 초등학생(8세~13세) 700원
단체 - 성인(20세~65세) 700원 / 청소년(14세~19세), 하사 이하의 군인 500원 / 초등학생(8세~13세) 500원",,약 1시간,주차 가능(약 200대 이상),,없음,불가,가능,"체험프로그램:전시에 따라 다름
한국어 안내서비스:* 평일 : 14:00, 16:00<br />
* 주말 : 11:00, 14:00, 16:00

예약안내:홈페이지 참조
"
패션디자인개발지원센터,41515,,,대구광역시 북구 유통단지로14길 17,35.9061689681,128.6117268984,"패션디자인개발지원센터는 대구 북구 산격동에 위치한 패션센터로 지역 패션산업 활성화를 위하여 설립되었다. 이곳은 신진패션디자이너 양성과 지원을 위한 Creative Design Studio와 Work space, 패션쇼 및 문화행사의 대중화를 위한 다목적 공연시설, 전시공간 등의 시설을 갖추고 있다. 공연시설은 최대 인원 1,000명을 수용하는 공간과 최신의 조명, 음향 장비를 갖추고 분장실을 따로 이용할 수 있다. 공연장 바로 옆 전시공간은 공연 행사와 연계하여 리셉션, 다과, 안내데스크 등의 장소로 활용할 수 있다.
(출처: 패션디자인개발지원센터)",,"대지면적 4,114.80㎡ / 건축면적 2,573.53㎡ / 연면적 8,672.03㎡<br />
규모 : 지상 3층, 지하 1층",,,,,,,가능,,없음,불가,없음,
대구예술발전소,41920,,,대구광역시 중구 달성로22길 31-12,35.8754886074,128.5845523698,대구예술발전소는 2008년 10월 '지역근대산업유산을 활용한 문화예술 창작벨트조성' 계획의 정부시범사업으로 선정되어 추친되었다. 담배공장 부지였던 곳을 리모델링하여 낙후된 구도심지역에 예술창조 공간을 조성함으로써 현재 국내외 현대미술 전시회 등 다양한 전시 공연 행사를 즐길 수 있는 공간으로 활용되고 있다.<br>,,,,"4월~10월(하절기) 10:00~19:00<br>
11월~3월(동절기) 10:00~18:00","매주 월요일, 1월 1일(신정), 설날·추석 당일",무료(기획전시의 경우 유료 가능),,,주차 가능(주차공간이 협소하므로 가급적 대중교통 이용),,가능,불가,없음,"대관안내:[대관시설] 수창홀, 제1전시실, 제2전시실, 세미나실, 회의실, 교육실<br>
[신청시기] 사용예정일 30일 전<br />
[접수방법] 유선 신청가능 확인 후 이메일 접수<br />
※ 대관문의 053-430-1228
예약안내:단체 방문시 사전예약(전화 혹은 단체관람 신청서 제출)<br>
※ 단체 문의 053-430-1226
"
향촌문화관,41918,,,대구광역시 중구 중앙대로 449(향촌동),35.8733612482,128.5941849140,향촌문화관은 침체된 도심을 되살리고 지역경제에 활력을 불어넣기 위해 옛 한국상업은행 대구지점을 개보수하여 2014년 10월 30일 개관하였다. 1950년대 피란시절 문화예술인들의 정신적 고향이었던 향촌동 일원의 모습을 재현해 놓은 특별한 문화 공간이다. 더욱이 이 건물의 지하에는 1946년 문을 연 전국에서 가장 오래된 클래식 음악감상실 ‘녹향’이 자리하고 있어 당대 대구 문화의 수준을 증언하고 있다.,,지상 4층/지하 1층,동시수용가능 인원 500명,"하절기(4~10월) 09:00~19:00<br />
동절기(11~3월) 09:00~18:00<br />
※ 30분 전까지 입장 가능","매주 월요일(월요일이 공휴일이면 익일휴무), 1월 1일","- 성인(20~64세) : 1,000원<br />
- 경로(65세이상)/청소년(8~19세) : 500원<br />
- 유아(7세이하) : 무료<br/>
- 단체(20인이상) : 500원",,약 2시간,,,없음,불가,가능,"예약안내:단체관람(20인 이상)은 일주일전 인터넷 예약(향촌문화관 홈페이지)
한국어 안내서비스:정기해설 11:00, 14:00, 16:00 진행
"
봉산문화회관,41958,,,대구광역시 중구 봉산문화길 77(봉산동),35.8631263392,128.5965516572,"대구광역시 중구 봉산문화회관은 주민들의 문화욕구 충족 및 정서를 함양하고 향토문화 창달과 지역예술을 발전시키며, 시ㆍ구민에게 건전한 여가선용 기회의 제공과 문화예술과 관련된 평생교육의 목적을 가짐과 동시에 봉산문화거리와 연계된 종합문화예술회관으로의 기능을 지향한다. 시내중심가인 반월당 지하철 역세권과 봉산문화내 거리에 위치하고 현대적인 5개의 전시실(제1~4전시실, 아트스페이스), 가온홀(442석)과 스페이스라온(90석)은 공연장 이용객들이 선호하는 적정 규모의 회관이다. 문화거리내에 위치하여 관객의 접근성이 용이하며, 대중교통 이용이 편리하다.<br /><br />* 개관일 2004년 10월 05일<br>",,"대지면적 : 3,273.40㎡ (990.2)<br />
연면적 : 6,390.39㎡ (1,933)<br>건축면적 : 2,017㎡<br />
지하 1층 : 지하주차장(34대), 제3강의실(225.67㎡)<br />
1층 : 가온홀(661.34㎡), 스페이스라온(122.4㎡)<br />
2층 :&nbsp;가온홀(118.84㎡), 제3전시실(119.64㎡), 아트스페이스(36.58㎡), 
제4전시실(68.40㎡), 야외공연장(116.36㎡)<br />
3층 : 제1전시실(364㎡), 제2전시실(105㎡)<br />
4층 : 제1강의실(91.8㎡), 제2강의실(80.52㎡)","가온홀 423석, 스페이스라온 90석, 야외공연장 150명 정도",10:00~19:00,매주 월요일,프로그램에 따라 다름,프로그램에 따라 다름,프로그램에 따라 다름,주차 가능(소형34대 주차 가능),무료,없음,불가,없음,"대관안내:[대관시설] 가온홀, 스페이스라온, 제1~4전시실<br />
[대관문의]<br />
- 공연(대관)문의 : 053-661-3524<br /> 
- 전시(대관)문의 : 053-661-3523
"
국립대구과학관,43023,,,대구광역시 달성군 테크노대로6길 20 국립대구과학관,35.6862439572,128.4664457762,국립대구과학관은 놀이를 통해 쉽게 과학을 배우고 체험하는 과학놀이터이다. 직접 보고 만지고 체험할 수 있는 다양한 과학체험프로그램이 마련되어 있다. 또한 국립대구과학관은 다양한 과학프로그램이 있어서 프로그램을 참여할 수 있으며 또래와 함께 무한한 상상력을 펼칠 수 있다.,,,,"09:30~17:30<br />
※ 입장종료시간 : 16:30","매주 월요일(월요일이 공휴일인 경우 다음날 휴관), 법정공휴일 다음날, 1월 1일, 공휴일의 다음날이 토요일인 경우 개관, 명절(설,추석)","[상설전시관 입장권]<br />
개인 - 대인 3,000원 / 소인 2,000원<br />
단체 - 대인 2,000원 / 소인 1,000원<br />
※ 무료 : 유아, 경로, 장애인, 국가유공자, 기초생활수급자 및 차상위 계층(중복할인 불가)<br />
※ 지역주민 : 대인 2,000원 / 소인 1,000원<br /><br />
[4D영상관/천체투영관]<br />
개인 - 대인 2,000원 / 소인, 유아, 경로, 장애인, 국가유공자, 기초생활수급자 및 차상위 계층 1,000원 <br />
단체 - 대인 1,000원 / 소인, 유아, 경로, 장애인, 국가유공자, 기초생활수급자 및 차상위 계층 500원 <br />
※ 지역주민 : 대인 1,000원 / 소인 500원<br />
※ 대인(20세 이상), 소인(7~19세), 유아(6세 이하), 경로(만 65세 이상), 지역주민(달성군민)<br /><br />
※ 이용요금은 변동될 수 있으며, 기타 자세한 사항은 홈페이지 참고",,,"있음<br />
※ 입차 09:00~16:30 / 출차 09:00~18:00","일반차량(25인승 미만) 2,000원<br />
대형(25인승 이상) 5,000원<br />
※ 경차(1000cc 미만) 50% 할인<br />
※ 주차요금 면제<br />
- 장애인(장애인등록증(복지카드) 제시)<br />
- 국가유공자(국가유공자증 제시)<br />
- 공무 및 협력업체(관련 증명서 제시)<br />
- 자원봉사자(관련 증명서 제시)",없음,불가,가능,"예약안내:개인 / 단체 온라인 예약 가능 <br />
<a href=""http://www.dnsm.or.kr/"" target=""_blank"" title=""새창 : 국립대구과학관 홈페이지로 이동"">http://www.dnsm.or.kr</a>
한국어 안내서비스:[전시해설] 순회해설(개인), 기획해설(개인, 단체), 주제별해설(개인, 단체), 심층해설(단체), 어린이관 단체 해설 등 다양한 해설프로그램 진행
<br />
[휴대용 관람도우미] NFC 전시물 정보 안내 서비스 제공
"
근대문화체험관 계산예가,41933,,,대구광역시 중구 서성로 6-1(계산동2가),35.8671840532,128.5878634206,"근대문화체험관 계산예가는 도심골목투어의 핵심거점인 이상화·서상돈 고택 방문객을 위한 편의시설과 다양한 정보를 제공하기 위해 2012년 개관하였으며, 계산동을 포함한 도심일원에 대해 안내하는 영상관, 대형 입체페널에서 텍스트와 영상을 통해 대구 근대역사에 대한 정보를 제공하는 전시실, 근대기 이 지역의 활발했던 문화예술활동에 대한 정보를 전시물과 E-BOOK등으로 접할 수 있는 한옥전시관으로 구성되어 있다.",,,,09:00~18:00 (11월~2월 17:30),설날/추석 연휴 당일,무료,,1시간,없음(인근 유료주차장),,없음,불가,가능,
에코한방웰빙체험관,41933,,,대구광역시 중구 남성로 24(남성로),35.8680145402,128.5892743843,약전골목 인근의 역사적인 보전가치가 있는 건물들이 소멸되어 가고 약업사 등 관련 업종이 급속히 감소하는 등 대구약령시의 위기감이 팽배해짐에 따라 중구청에서 옛 이해영 정형외과와 인근 부지를 매입하여 조성한 친환경 체험시설이다. 1966년에 건축된 대구의 현대적인 병원 건축의 전형인 이해영 정형외과의 옛 모습을 최대한 살려 리모델링하면서 동선을 고려한 증축으로 근대건축물을 활용한 도심재생 모델이다. 대구 근대골목투어의 중간 거점지로서 약령시를 방문하는 관광객과 시민들을 위한 도심 속 힐링 체험장이다.,,"대지면적 660.6㎡, 건축연면적 756.44㎡(시상2층, 지하1층)",,09:00~19:00 (11월~3월 18:00),"매주 월요일(월요일이 공휴일 경우는 그 다음날), 1월 1일, 설날 및 추석날",무료,,약 1시간,없음(인근 유료주차장),,없음,없음,없음,
