명칭,우편번호,관리자,전화번호,주소,위도,경도,개요,문의 및 안내,규모,판매품목,품목별 가격,장서는 날,개장일,영업시간,쉬는날,매장안내,주차시설,문화센터 바로가기,유모차 대여 여부,애완동물 동반 가능 여부,신용카드 가능 여부,화장실,상세정보
피제,41918,,,대구광역시 중구 경상감영 1 길 47 (대안동),35.8731779099,128.5927905974,-,053-254-2524,,신발,,월~일요일,,10:00~19:00,명절,"이용환급창구 운영사업자 : 글로벌텍스프리(GTF), 환급서비스 제공방식 : 즉시+사후",불가능,,,,가능,,
메릭 S,41918,,,대구광역시 중구 서성로 14 길 112 (향촌동),35.8730973807,128.5937266280,-,053-254-2524,,신발,,월~일요일,,10:00~19:00,명절,"이용환급창구 운영사업자 : 글로벌텍스프리(GTF), 환급서비스 제공방식 : 즉시+사후",불가능,,,,가능,,
분홍신,41918,,,대구광역시 중구 서성로 14 길 99 (향촌동),35.8732362410,128.5930294638,-,055-687-7400,,신발,,월~일요일,,10:00~19:00,명절,"이용환급창구 운영사업자 : 글로벌텍스프리(GTF), 환급서비스 제공방식 : 즉시+사후",불가능,,,,가능,,
나그놀스트릿 대구동성로,41941,,,대구광역시 중구 동성로2길 50-14,35.8678952605,128.5974236697,-,053-426-3539,,악세서리,,월~일요일,,11:00~22:00,,"이용환급창구 운영사업자 : 글로벌텍스프리(GTF), 환급서비스 제공방식 : 즉시",불가능,,,,가능,,
자라 롯데 봉무점,41026,,,대구광역시 동구 팔공로49길 16롯데몰1층,35.9215899181,128.6373908727,-,,,"가죽 제품 및 가방,란제리(속옷),신발,악세서리,안경",,월~일요일,,11:00~21:00,명절,"이용환급창구 운영사업자 : 글로벌블루, 환급서비스 제공방식 : 사후",가능,,,,가능,완비,
나림그림1호 대구동성로,41941,,,대구광역시 중구 동성로2길 48,35.8680230128,128.5968403836,-,053-424-3539,,악세서리,,월~일요일,,11:00~22:00,,"이용환급창구 운영사업자 : 글로벌텍스프리(GTF), 환급서비스 제공방식 : 즉시+사후",불가능,,,,가능,,
닥터마틴 대구동성로,41941,,,"대구광역시 중구 동성로 24-1, 1층",35.8689978739,128.5953210466,-,053-422-9211,,"가죽 제품 및 가방,신발",,월~일요일,,10:30~22:00,,"이용환급창구 운영사업자 : 글로벌텍스프리(GTF), 환급서비스 제공방식 : 즉시",불가능,,,,가능,,
토즈 현대 대구점,41936,,,대구광역시 중구 달구벌대로 2077 1층,35.8666702733,128.5906548560,-,,,"가죽 제품 및 가방,신발",,월~일요일,,10:30~20:00,"월1회 월요일, 명절","이용환급창구 운영사업자 : 글로벌텍스프리(GTF), 환급서비스 제공방식 : 즉시+사후",가능,,,,가능,완비,
레몬트리안경 대구동성로,41913,,,대구광역시 중구 국채보상로 595-1,35.8710420991,128.5959737095,-,053-421-8044,,안경,,월~일요일,,10:00~21:00,명절,"이용환급창구 운영사업자 : 글로벌텍스프리(GTF), 환급서비스 제공방식 : 즉시",불가능,,,,가능,완비,
렌즈미 대구동성로,41938,,,대구광역시 중구 동성로6길 19렌즈미,35.8690673336,128.5965764897,-,053-255-1423,,기타 소매,,월~일요일,,10:30~22:00,명절,"이용환급창구 운영사업자 : 글로벌텍스프리(GTF), 환급서비스 제공방식 : 사후",불가능,,,,가능,,
렌즈타운 대구동성로,41938,,,대구광역시 중구 동성로6길 19렌즈타운,35.8690673336,128.5965764897,-,053-421-2333,,기타 소매,,월~일요일,,10:00~22:30,명절,"이용환급창구 운영사업자 : 글로벌텍스프리(GTF), 환급서비스 제공방식 : 사후",불가능,,,,가능,,
MLB키즈 이시아폴리스,41026,,,대구광역시 동구 팔공로49길 16롯데아울렛2층MLB키즈,35.9215899181,128.6373908727,-,,,"기타 패션 및 의류,아동의류",,월~일요일,,11:00~21:00,명절,"이용환급창구 운영사업자 : 글로벌텍스프리(GTF), 환급서비스 제공방식 : 사후",가능,,,,가능,완비,
레쓰시계 대구동성로,41937,,,대구광역시 중구 동성로 7-1,35.8677729947,128.5943489441,-,053-425-0157,,시계,,월~일요일,,11:00~21:00,"명절, 신정","이용환급창구 운영사업자 : 글로벌텍스프리(GTF), 환급서비스 제공방식 : 즉시+사후",불가능,,,,가능,,
로데오안경 대구동성로,41942,,,대구광역시 중구 동성로4길 46,35.8667815262,128.5990068944,-,053-426-3255,,안경,,월~일요일,,11:00~22:00,명절,"이용환급창구 운영사업자 : 글로벌텍스프리(GTF), 환급서비스 제공방식 : 즉시",불가능,,,,가능,,
보름달안경 대구동성로,41942,,,대구광역시 중구 동성로1길 29-9,35.8671314166,128.5951766667,-,031-695-1741,,안경,,월~일요일,,11:00~22:00,명절,"이용환급창구 운영사업자 : 글로벌텍스프리(GTF), 환급서비스 제공방식 : 즉시+사후",불가능,,,,가능,,
블루문앤코 대구동성로,41942,,,대구광역시 중구 동성로5길 50,35.8673703158,128.5972486995,-,053-421-1010,,악세서리,,월~일요일,,10:30~22:30,,"이용환급창구 운영사업자 : 글로벌텍스프리(GTF), 환급서비스 제공방식 : 즉시+사후",불가능,,,,가능,,
씨채널한일로안경 대구동성로,41938,,,대구광역시 중구 국채보상로 604,35.8705366153,128.5967569878,-,053-427-0033,,안경,,월~일요일,,10:00~21:00,명절,"이용환급창구 운영사업자 : 글로벌텍스프리(GTF), 환급서비스 제공방식 : 즉시+사후",불가능,,,,가능,완비,
프롬앤 대구동성로,41941,,,대구광역시 중구 동성로5길 17,35.8679702186,128.5956654887,-,,,"보석(장신구),악세서리",,월~일요일,,11:00~22:00,,"이용환급창구 운영사업자 : 글로벌텍스프리(GTF), 환급서비스 제공방식 : 사후",불가능,,,,가능,,
반스 대구동성로,41942,,,대구광역시 중구 동성로 81층반스동성로점,35.8675730195,128.5944822711,-,053-423-0090,,"기타 패션 및 의류,남성의류,신발,여성의류",,월~일요일,,11:00~21:30,,"이용환급창구 운영사업자 : 글로벌텍스프리(GTF), 환급서비스 제공방식 : 사후",불가능,,,,가능,,
킴스애드안경 대구동성로,41941,,,대구광역시 중구 동성로6길 2-17킴스애드안경,35.8682674061,128.5956099295,-,053-256-4222,,안경,,월~일요일,,11:00~22:00,명절,"이용환급창구 운영사업자 : 글로벌텍스프리(GTF), 환급서비스 제공방식 : 즉시",불가능,,,,가능,,
은혜화장품 대현프리몰대구,41909,,,대구광역시 중구 국채보상로 580F11호11,35.8708809922,128.5952098924,-,053-421-8817,,향수 및 화장품,,월~일요일,,11:00~22:00,"월1회 월요일, 명절","이용환급창구 운영사업자 : 글로벌텍스프리(GTF), 환급서비스 제공방식 : 즉시",불가능,,,,가능,완비,
프렌치 대현프리몰대구,41909,,,"대구광역시 중구 국채보상로 지하580(동성로2가,대현프리몰D열1호)",35.8708809922,128.5952098924,-,053-424-6256,,신발,,월~일요일,,11:00~22:00,"월1회 월요일, 명절","이용환급창구 운영사업자 : 글로벌텍스프리(GTF), 환급서비스 제공방식 : 즉시+사후",불가능,,,,가능,완비,
에이스 대현프리몰대구,41909,,,"대구광역시 중구 국채보상로 지하580 (동성로2가, 대현프리몰c열4호)",35.8708809922,128.5952098924,-,053-257-9687,,"기념품점,시계",,월~일요일,,11:00~22:00,"월1회 월요일, 명절","이용환급창구 운영사업자 : 로드시스템, 환급서비스 제공방식 : 즉시",불가능,,,,가능,완비,
도로시 대현프리몰대구,41909,,,대구광역시 중구 국채보상로 580G9,35.8708809922,128.5952098924,-,053-424-4898,,여성의류,,월~일요일,,11:00~22:00,"월1회 월요일, 명절","이용환급창구 운영사업자 : 글로벌텍스프리(GTF), 환급서비스 제공방식 : 사후",불가능,,,,가능,완비,
보따리 대현프리몰대구,41909,,,대구광역시 중구 국채보상로 580지하D-24호,35.8708809922,128.5952098924,-,053-254-8061,,가죽 제품 및 가방,,월~일요일,,11:00~22:00,"월1회 월요일, 명절","이용환급창구 운영사업자 : 글로벌텍스프리(GTF), 환급서비스 제공방식 : 즉시",불가능,,,,가능,완비,
휴고보스 현대 대구점,41936,,,대구광역시 중구 달구벌대로 2077,35.8666702733,128.5906548560,-,053-245-2213,,"남성의류,여성의류",,월~일요일,,10:30~20:00,명절,"이용환급창구 운영사업자 : 글로벌텍스프리(GTF), 환급서비스 제공방식 : 사후",가능,,,,가능,완비,
이니스프리 동성로,41937,,,대구시 중구 동성로2가 100,35.8696839097,128.5954349063,-,053-421-4799,,향수 및 화장품,,월~일요일,,10:00~23:00,,"이용환급창구 운영사업자 : 글로벌텍스프리(GTF), 환급서비스 제공방식 : 사후",불가능,,,,가능,,
이마트트레이더스 비산,41710,,,대구광역시 서구 팔달로 54 (비산동),35.8899475547,128.5559878184,-,053-714-1234,,"가죽 제품 및 가방,기타 패션 및 의류,남성의류,란제리(속옷),보석(장신구),스포츠 용품 및 의류,시계,식료품,신발,아동의류,악세서리,안경,여성의류,전자제품,향수 및 화장품",,월~일요일,,10:00~23:00,"2,4주 일요일","이용환급창구 운영사업자 : 글로벌텍스프리(GTF), 환급서비스 제공방식 : 즉시+사후",가능,,,,가능,완비,
라코스테 대구동성로,41942,,,대구광역시 중구 동성로1길 29-361층라코스테,35.8675008245,128.5954905179,-,,,"가죽 제품 및 가방,기타 패션 및 의류,남성의류,신발,여성의류",,월~일요일,,11:00~22:00,,"이용환급창구 운영사업자 : 글로벌텍스프리(GTF), 환급서비스 제공방식 : 사후",불가능,,,,가능,,
컬럼비아 이시아폴리스,41026,,,대구광역시 동구 팔공로49길 16이시아폴리스컬럼비아,35.9215899181,128.6373908727,-,053-945-2630,,스포츠 용품 및 의류,,월~일요일,,11:00~21:00,명절,"이용환급창구 운영사업자 : 글로벌텍스프리(GTF), 환급서비스 제공방식 : 사후",가능,,,,가능,완비,
올리브영 대구두류,42645,,,대구광역시 달서구 달구벌대로 1704,35.8555013848,128.5521668902,-,053-622-5290,,향수 및 화장품,,월~일요일,,10:30~22:30,명절,"이용환급창구 운영사업자 : 글로벌텍스프리(GTF), 환급서비스 제공방식 : 즉시",불가능,,,,가능,완비,
나이키타운 동성로,41941,,,대구광역시 중구 동성로6길 2-7나이키,35.8687562420,128.5957071302,-,053-421-1674,,"스포츠 용품 및 의류,신발",,월~일요일,,11:00~22:00,명절,"이용환급창구 운영사업자 : 글로벌텍스프리(GTF), 환급서비스 제공방식 : 사후",불가능,,,,가능,,
래핑차일드 이시아폴리스,41026,,,대구광역시 동구 팔공로49길 162F,35.9215899181,128.6373908727,-,053-945-2585,,아동의류,,월~일요일,,11:00~21:00,명절,"이용환급창구 운영사업자 : 글로벌텍스프리(GTF), 환급서비스 제공방식 : 사후",가능,,,,가능,완비,
하이마트 송현점,42737,,,대구광역시 달서구 구마로 244,35.8367424411,128.5545588670,-,,,전자제품,,월~일요일,,10:30~20:30,,"이용환급창구 운영사업자 : 글로벌블루, 환급서비스 제공방식 : 사후",가능,,,,가능,완비,
하이마트 성서점,42696,,,대구광역시 달서구 달구벌대로 1300,35.8511122090,128.5095374348,-,053-584-1110,,전자제품,,월~일요일,,10:30~20:30,,"이용환급창구 운영사업자 : 글로벌블루, 환급서비스 제공방식 : 사후",가능,,,,가능,완비,
하이마트 복현점,41562,,,대구광역시 북구 대학로 150,35.8968672944,128.6144852480,-,053-954-0111,,전자제품,,월~일요일,,10:30~20:30,명절,"이용환급창구 운영사업자 : 글로벌텍스프리(GTF), 환급서비스 제공방식 : 즉시",가능,,,,가능,완비,
롯데하이마트 침산점,41577,,,대구 북구 중앙대로 598,35.8860821026,128.5980953261,-,053-341-1110,,전자제품,,월~일요일,,10:30~20:30,명절,"이용환급창구 운영사업자 : 글로벌텍스프리(GTF), 환급서비스 제공방식 : 사후",가능,,,,가능,완비,
트라이엄프,41250,,,대구 동구 대구동구동대구로454,35.8707732498,128.6265710218,-,053-430-2160,,란제리(속옷),,월~일요일,,10:30~21:00,명절,"이용환급창구 운영사업자 : 글로벌텍스프리(GTF), 환급서비스 제공방식 : 사후",가능,,,,가능,완비,
리바이스키즈,41250,,,대구 동구 대구동구동대구로454,35.8707732498,128.6265710218,-,053-430-2375,,아동의류,,월~일요일,,10:30~21:00,"정기휴무일,명절","이용환급창구 운영사업자 : 글로벌텍스프리(GTF), 환급서비스 제공방식 : 즉시+사후",가능,,,,가능,완비,
I LOVE J,41250,,,대구 동구 대구동구동대구로454,35.8707732498,128.6265710218,-,053-430-2380,,"아동의류,기타 소매",,월~일요일,,10:30~21:00,"정기휴무일,명절","이용환급창구 운영사업자 : 글로벌텍스프리(GTF), 환급서비스 제공방식 : 사후",가능,,,,가능,완비,
베네통현대아울렛대구,41250,,,대구 동구 대구동구동대구로454,35.8707732498,128.6265710218,-,053-430-2208,,"기타 패션 및 의류,신발,여성의류",,월~일요일,,10:30~21:00,명절,"이용환급창구 운영사업자 : 글로벌텍스프리(GTF), 환급서비스 제공방식 : 사후",가능,,,,가능,완비,
잇미샤 현대아울렛대구,41250,,,대구 동구 대구동구동대구로454,35.8707732498,128.6265710218,-,053-430-2227,,"여성의류,기타 소매",,월~일요일,,10:30~21:00,명절,"이용환급창구 운영사업자 : 글로벌텍스프리(GTF), 환급서비스 제공방식 : 즉시+사후",가능,,,,가능,완비,
GGPX현대아울렛대구,41250,,,대구 동구 대구동구동대구로454,35.8707732498,128.6265710218,-,053-430-2225,,"신발,여성의류,기타 소매",,월~일요일,,10:30~21:00,"정기휴무일,명절","이용환급창구 운영사업자 : 글로벌텍스프리(GTF), 환급서비스 제공방식 : 즉시+사후",가능,,,,가능,완비,
오픈클로저,41250,,,대구 동구 대구동구동대구로454,35.8707732498,128.6265710218,-,053-430-2235,,여성의류,,월~일요일,,10:30~21:00,"정기휴무일,명절","이용환급창구 운영사업자 : 글로벌텍스프리(GTF), 환급서비스 제공방식 : 즉시+사후",가능,,,,가능,완비,
에고이스트 이시아폴리스,41026,,,대구광역시 동구 팔공로49길 161층에고이스트,35.9215899181,128.6373908727,-,,,"가죽 제품 및 가방,기타 패션 및 의류,신발,여성의류",,월~일요일,,11:00~21:00,명절,"이용환급창구 운영사업자 : 기타, 환급서비스 제공방식 : 사후",가능,,,,가능,완비,
IDL 메이즈메이 이시아폴리스,41026,,,"대구광역시 동구 팔공로49길 16, 1층",35.9215899181,128.6373908727,-,053-945-2595,,여성의류,,월~일요일,,11:00~21:00,명절,"이용환급창구 운영사업자 : 글로벌텍스프리(GTF), 환급서비스 제공방식 : 즉시+사후",가능,,,,가능,완비,
올리브영동대구역사점,41229,,,대구광역시 동구 동대구로 550동대구역,35.8794806389,128.6288011378,-,053-716-5290,,"악세서리,향수 및 화장품",,월~일요일,,08:30~22:00,,"이용환급창구 운영사업자 : 글로벌텍스프리(GTF), 환급서비스 제공방식 : 즉시+사후",가능,,,,가능,완비,
코우치 롯데대구,41581,,,대구광역시 북구 태평로 161,35.8759276605,128.5961541136,-,053-660-3001,,가죽 제품 및 가방,,월~일요일,,10:30~20:00,"월1회, 명절","이용환급창구 운영사업자 : 글로벌텍스프리(GTF), 환급서비스 제공방식 : 즉시",가능,,,,가능,완비,
보테가베네타 현대 대구점,41936,,,대구광역시 중구 달구벌대로 2077,35.8666702733,128.5906548560,-,053-245-2116,,"가죽 제품 및 가방,신발,여성의류",,월~일요일,,10:30~20:00,명절,"이용환급창구 운영사업자 : 글로벌텍스프리(GTF), 환급서비스 제공방식 : 사후",가능,,,,가능,완비,
발렌시아가 현대 대구점,41936,,,대구광역시 중구 달구벌대로 2077 2층,35.8666702733,128.5906548560,-,053-245-2215,,"가죽 제품 및 가방,신발,여성의류",,월~일요일,,10:30~20:00,명절,"이용환급창구 운영사업자 : 글로벌텍스프리(GTF), 환급서비스 제공방식 : 사후",가능,,,,가능,완비,
구구스 대구점,41953,,,대구광역시 중구 동덕로6길 26-18,35.8561800759,128.6059149144,-,,,"가죽 제품 및 가방,기타 패션 및 의류,남성의류,시계,신발,여성의류",,월~토요일,,11:00~20:00,,"이용환급창구 운영사업자 : 글로벌블루, 환급서비스 제공방식 : 즉시+사후",불가능,,,,가능,,
구구스 현대 대구점,41936,,,대구광역시 중구 남성로 32,35.8676284923,128.5903270803,-,053-290-6563,,"가죽 제품 및 가방,시계,여성의류",,월~토요일,,11:00~20:00,명절,"이용환급창구 운영사업자 : 글로벌텍스프리(GTF), 환급서비스 제공방식 : 사후",불가능,,,,가능,,
아이그너,41229,,,대구 동구 동부로149,35.8779835934,128.6292150324,-,053-661-6366,,"가죽 제품 및 가방,악세서리",,월~일요일,,11:00~20:00,"정기휴무일,명절","이용환급창구 운영사업자 : 글로벌텍스프리(GTF), 환급서비스 제공방식 : 사후",가능,,,,가능,완비,
맨온드분,41229,,,대구 동구 동부로149,35.8779835934,128.6292150324,-,053-661-6219,,"남성의류,보석(장신구),신발,악세서리,안경",,월~일요일,,11:00~20:00,"정기휴무일,명절","이용환급창구 운영사업자 : 글로벌텍스프리(GTF), 환급서비스 제공방식 : 사후",가능,,,,가능,완비,
탑텐 동성로2호,41942,,,대구광역시 중구 동성로1길 29-40(삼덕동1가),35.8676813608,128.5955321753,-,053-427-0747,,기타 패션 및 의류,,월~일요일,,11:00~21:30,,"이용환급창구 운영사업자 : 글로벌텍스프리(GTF), 환급서비스 제공방식 : 즉시+사후",불가능,,,,가능,,
갤럭시라이프스타일 현대 대구점,41936,,,대구광역시 중구 달구벌대로 2077,35.8666702733,128.5906548560,-,053-245-2546,,남성의류,,월~일요일,,10:30~20:00,명절,"이용환급창구 운영사업자 : 글로벌텍스프리(GTF), 환급서비스 제공방식 : 사후",가능,,,,가능,완비,
ER NC아울렛 엑스코,41518,,,대구광역시 북구 유통단지로14길 22,35.9052607128,128.6103881529,-,053-662-9000,,"가구 및 홈데코,가죽 제품 및 가방,기념품점,기타 패션 및 의류,남성의류,란제리(속옷),보석(장신구),스포츠 용품 및 의류,시계,신발,아동의류,악세서리,안경,여성의류,향수 및 화장품",,월~일요일,,10:30~21:00,"월1회, 명절","이용환급창구 운영사업자 : 글로벌텍스프리(GTF), 환급서비스 제공방식 : 즉시+사후",가능,,,,가능,완비,
유니클로 신매,42271,,,대구광역시 수성구 달구벌대로 3257유니클로,35.8382090796,128.7125449172,-,053-795-8205,,"가죽 제품 및 가방,남성의류,란제리(속옷),스포츠 용품 및 의류,신발,아동의류,악세서리,여성의류,기타 소매",,월~일요일,,11:30~20:30,,"이용환급창구 운영사업자 : 글로벌텍스프리(GTF), 환급서비스 제공방식 : 사후",가능,,,,가능,완비,
올리브영 대구대현,41570,,,"대구광역시 북구 신암로 111강남메디컬타워106,107호",35.8808773798,128.6113137507,-,,,"기타 패션 및 의류,보석(장신구),식료품,향수 및 화장품",,월~일요일,,10:00~22:00,,"이용환급창구 운영사업자 : 글로벌텍스프리(GTF), 환급서비스 제공방식 : 사후",불가능,,,,가능,완비,
몽블랑 현대 대구점,41936,,,대구광역시 중구 달구벌대로 2077,35.8666702733,128.5906548560,-,053-245-2220,,"시계,기타 소매",,월~일요일,,10:30~20:00,명절,"이용환급창구 운영사업자 : 글로벌텍스프리(GTF), 환급서비스 제공방식 : 즉시+사후",가능,,,,가능,완비,
정일품 동성로,41912,,,대구광역시 중구 동성로 72정일품,35.8731835254,128.5960819735,-,053-356-6954,,보석(장신구),,월~일요일,,10:30~19:30,명절,"이용환급창구 운영사업자 : 글로벌텍스프리(GTF), 환급서비스 제공방식 : 사후",불가능,,,,가능,완비,
엘지베스트샵 침산점,41586,,,대구광역시 북구 침산로 76,35.8830323097,128.5905988497,-,,,전자제품,,월~일요일,,10:30~20:30,,"이용환급창구 운영사업자 : 글로벌블루, 환급서비스 제공방식 : 사후",가능,,,,가능,완비,
휠라 대구동성로1호,41942,,,"대구광역시 중구 동성로1길 29-251,2층",35.8676369157,128.5952210931,-,041-640-5027,,"스포츠 용품 및 의류,신발",,월~일요일,,11:00~21:00,명절,"이용환급창구 운영사업자 : 글로벌텍스프리(GTF), 환급서비스 제공방식 : 즉시+사후",불가능,,,,가능,,
비너스,41936,,,대구 중구 달구벌대로2077,35.8666702733,128.5906548560,-,053-245-2233,,란제리(속옷),,월~일요일,,10:30~20:00,명절,"이용환급창구 운영사업자 : 글로벌텍스프리(GTF), 환급서비스 제공방식 : 즉시+사후",가능,,,,가능,완비,
스톤헨지 현대 대구점,41936,,,대구광역시 중구 달구벌대로 2077,35.8666702733,128.5906548560,-,053-245-2160,,보석(장신구),,월~일요일,,10:30~20:00,명절,"이용환급창구 운영사업자 : 글로벌텍스프리(GTF), 환급서비스 제공방식 : 사후",가능,,,,가능,완비,
핫트랙스 대구점,41937,,,대구광역시 중구 국채보상로 586,35.8706365687,128.5948404879,-,053-425-9961,,"가든 및 DIY,기념품점,전자제품",,월~일요일,,09:30~22:00,명절,"이용환급창구 운영사업자 : 글로벌블루, 환급서비스 제공방식 : 즉시+사후",가능,,,,가능,완비,
유니클로 대구대천,42760,,,대구광역시 달서구 진천로 113,35.8184550156,128.5215483926,-,,,"기타 패션 및 의류,남성의류,란제리(속옷),신발,아동의류,여성의류",,월~일요일,,11:30~20:30,,"이용환급창구 운영사업자 : 글로벌텍스프리(GTF), 환급서비스 제공방식 : 즉시+사후",가능,,,,가능,완비,
유니클로 신세계대구,41229,,,"대구광역시 동구 효신로 88(신암동, 파미에타운)",35.8797195824,128.6332146318,-,053-661-1762,,"가죽 제품 및 가방,남성의류,란제리(속옷),스포츠 용품 및 의류,신발,아동의류,여성의류",,월~일요일,,11:00~20:00,"정기휴무일,명절","이용환급창구 운영사업자 : 글로벌텍스프리(GTF), 환급서비스 제공방식 : 사후",가능,,,,가능,완비,
홈플러스스토어즈 내당,41863,,,대구광역시 서구 달구벌대로 1821 (내당동),35.8602010674,128.5638407313,-,053-567-2080,,"가구 및 홈데코,가죽 제품 및 가방,기타 패션 및 의류,남성의류,란제리(속옷),스포츠 용품 및 의류,식료품,신발,아동의류,악세서리,안경,여성의류,전자제품,향수 및 화장품",,월~일요일,,10:00~24:00,"2,4주 일요일","이용환급창구 운영사업자 : 글로벌텍스프리(GTF), 환급서비스 제공방식 : 즉시",가능,,,,가능,완비,
ABC마트 대구동성로점,41942,,,대구광역시 중구 동성로1길 25,35.8669147692,128.5949294724,-,053-426-5989,,"남성의류,신발",,월~일요일,,11:00~22:00,,"이용환급창구 운영사업자 : 글로벌텍스프리(GTF), 환급서비스 제공방식 : 사후",불가능,,,,가능,,
ABC마트 이시아폴리스점,41026,,,대구광역시 동구 팔공로49길 16,35.9215899181,128.6373908727,-,,,신발,,월~일요일,,11:00~21:00,명절,"이용환급창구 운영사업자 : 글로벌블루, 환급서비스 제공방식 : 사후",가능,,,,가능,완비,
폴햄 이시아폴리스,41026,,,대구광역시 동구 팔공로49길 16 (봉무동),35.9215899181,128.6373908727,-,,,"가죽 제품 및 가방,기타 패션 및 의류,남성의류,신발,아동의류,여성의류",,월~일요일,,11:00~21:00,명절,"이용환급창구 운영사업자 : 글로벌텍스프리(GTF), 환급서비스 제공방식 : 사후",가능,,,,가능,완비,
토니모리 대구반월당,41957,,,대구광역시 중구 달구벌대로 지하 2100,35.8644705727,128.5933602338,-,053-252-0311,,향수 및 화장품,,월~일요일,,10:00~21:00,명절,"이용환급창구 운영사업자 : 글로벌텍스프리(GTF), 환급서비스 제공방식 : 즉시+사후",불가능,,,,가능,완비,
JD스포츠 동성로중앙,41941,,,대구광역시 중구 동성로5길 37,35.8678313654,128.5967487309,-,053-255-2809,,"기타 패션 및 의류,스포츠 용품 및 의류",,월~일요일,,11:00~22:00,,"이용환급창구 운영사업자 : 글로벌텍스프리(GTF), 환급서비스 제공방식 : 즉시+사후",불가능,,,,가능,,
올리브영 경북대,41544,,,대구광역시 북구 산격동 1341-1,35.8930204151,128.6094441326,-,053-939-5290,,향수 및 화장품,,월~일요일,,10:30~20:30,,"이용환급창구 운영사업자 : 글로벌텍스프리(GTF), 환급서비스 제공방식 : 사후",불가능,,,,가능,,
명보시계 롤렉스 신세계대구,41229,,,"대구광역시 동구 동부로 149, 1층",35.8779835934,128.6292150324,-,,,시계,,월~일요일,,11:00~20:00,명절,"이용환급창구 운영사업자 : 글로벌텍스프리(GTF), 환급서비스 제공방식 : 사후",가능,,,,가능,완비,
홈플러스 성서,42637,,,대구광역시 달서구 달구벌대로 1467 (용산동),35.8494960542,128.5274331248,-,,,"가구 및 홈데코,가든 및 DIY,가죽 제품 및 가방,기타 패션 및 의류,남성의류,란제리(속옷),보석(장신구),스포츠 용품 및 의류,시계,식료품,신발,아동의류,악세서리,안경,여성의류,전자제품,향수 및 화장품",,월~일요일,,10:00~24:00,"2,4주 일요일","이용환급창구 운영사업자 : 글로벌텍스프리(GTF), 환급서비스 제공방식 : 사후",가능,,,,가능,완비,
KK대구본점(금강_금강제화),41938,,,대구광역시 중구 동성로 32금강제화,35.8696033696,128.5957848772,-,053-422-7717,,"가죽 제품 및 가방,신발",,월~일요일,,11:00~21:00,"명절, 신정","이용환급창구 운영사업자 : 글로벌텍스프리(GTF), 환급서비스 제공방식 : 사후",불가능,,,,가능,,
SI 갭키즈 신세계대구,41229,,,대구광역시 동구 동부로 149,35.8779835934,128.6292150324,-,053-661-6703,,"아동의류,악세서리",,월~일요일,,11:00~20:00,"정기휴무일,명절","이용환급창구 운영사업자 : 글로벌텍스프리(GTF), 환급서비스 제공방식 : 사후",가능,,,,가능,완비,
대현 주크 이시아폴리스,41026,,,대구광역시 동구 팔공로49길 16 (봉무동) 이시아폴리스센터,35.9215899181,128.6373908727,-,,,"가죽 제품 및 가방,기타 패션 및 의류,여성의류",,월~일요일,,11:00~21:00,명절,"이용환급창구 운영사업자 : 글로벌텍스프리(GTF), 환급서비스 제공방식 : 사후",가능,,,,가능,완비,
에메필 대구1호,41941,,,대구시 중구 동성로5길 53 (삼덕동1가) 1층,35.8676730648,128.5975486651,-,,,란제리(속옷),,월~일요일,,11:00~22:30,,"이용환급창구 운영사업자 : 글로벌텍스프리(GTF), 환급서비스 제공방식 : 즉시+사후",불가능,,,,가능,,
비비안 이시아폴리스,41026,,,대구광역시 동구 팔공로49길 16롯데아울렛2F,35.9215899181,128.6373908727,-,053-945-2652,,란제리(속옷),,월~일요일,,11:00~21:00,명절,"이용환급창구 운영사업자 : 글로벌텍스프리(GTF), 환급서비스 제공방식 : 즉시+사후",가능,,,,가능,완비,
입생로랑 롯데 대구점,41581,,,대구광역시 북구 태평로 161,35.8759276605,128.5961541136,-,053-660-3180,,가죽 제품 및 가방,,월~일요일,,10:30~20:00,"월1회, 명절","이용환급창구 운영사업자 : 글로벌텍스프리(GTF), 환급서비스 제공방식 : 사후",가능,,,,가능,완비,
블랙야크,41026,,,대구광역시 동구 팔공로49길 16,35.9215899181,128.6373908727,-,053-945-2608,,스포츠 용품 및 의류,,월~일요일,,11:00~21:00,명절,"이용환급창구 운영사업자 : 글로벌텍스프리(GTF), 환급서비스 제공방식 : 사후",불가능,,,,가능,완비,
락포트,41026,,,대구광역시 동구 팔공로49길 16,35.9215899181,128.6373908727,-,053-945-2598,,신발,,월~일요일,,11:00~21:00,명절,"이용환급창구 운영사업자 : 글로벌텍스프리(GTF), 환급서비스 제공방식 : 사후",가능,,,,가능,완비,
현대시티아울렛 대구,41250,,,대구광역시 동구 동대구로 454,35.8707732498,128.6265710218,-,053-430-2620,,"기타 패션 및 의류,스포츠 용품 및 의류,여성의류",,월~일요일,,10:30~21:00,명절,"이용환급창구 운영사업자 : 글로벌텍스프리(GTF), 환급서비스 제공방식 : 사후",가능,,,,가능,완비,
코오롱 헨리코튼 이시아폴리스,41026,,,대구광역시 동구 팔공로49길 16,35.9215899181,128.6373908727,-,,,"기타 패션 및 의류,남성의류",,월~일요일,,11:00~21:00,명절,"이용환급창구 운영사업자 : 글로벌텍스프리(GTF), 환급서비스 제공방식 : 사후",가능,,,,가능,완비,
