명칭,우편번호,관리자,전화번호,주소,위도,경도,개요,문의 및 안내,규모,좌석수,주차 시설,어린이놀이방,개업일,영업시간,쉬는날,대표메뉴,취급메뉴,할인정보,금연/흡연,신용카드정보,포장가능,예약안내,상세정보,인허가번호
유미정,42835,,,대구광역시 달서구 수밭길 28,35.7970495864,128.5478522240,"대구 수밭골 웰빙음식거리에 위치한 음식점이다. 전남 영광 법성포에서 가져온 굴비로 음식이 준비된다 메뉴는 보리굴비 정식, 갈치구이 정식, 고등어조림 정식 등이 있다. 모든 정식 메뉴에는 갓 지은 영양솥밥을 함께 준다. 실내는 화이트톤의 깔끔한 느낌이다.",053-637-2330,,,,0,,11:30 ~ 21:00 (브레이크타임 15:30 ~ 17:00),연중무휴,보리굴비 한상,보리굴비 한상 / 유미정 한상차림 / 돈가스 / 왕새우튀김 외,,,가능,가능,,,
텀트리프로젝트,42217,,,대구광역시 수성구 용학로 138(두산동),35.8236368725,128.6241586578,"대구 수성구 두산동에 있는 텀트리프로젝트는 합리적인 가격으로 우수한 품질의 커피 및 음료와 브런치 등을 즐길 수 있는 분위기 좋은 카페다. 카페라떼, 초콜릿 라떼, 바닐라 라떼, 에그 베네딕트, 아포가도 샌드위치 등 다양한 종류의 음료와 음식을 판매하고 있기에 식사와 디저트를 한 곳에서 해결할 수 있다는 장점이 있다. 또한 이곳은 널찍하고 다채로운 공간을 자랑한다. 스터디나 작업을 하기에 적절한 높낮이의 테이블과 의자가 마련되어있고, 회의를 위한 모니터와 큰 테이블이 비치된 공간도 준비되어 있다. 인근에 수성못이 있어 식사 후에 산책하며 둘러보기 좋다.",053-944-3912,,,주차가능,0,,11:30 ~ 23:00,명절 당일 휴무,카페라떼,"초콜릿 라떼, 바닐라 라떼",,,가능,가능,가능 (예약룸),"화장실:가능 (남녀 구분 내부)
",20150174925
퍼피80,41000,,,대구광역시 동구 서촌로7길 7-3(덕곡동),35.9791082335,128.6283095078,"대구 동구 덕곡동에 있는 퍼피80은 대구와 칠곡에 걸친 팔공산 자락에 위치하고 있어 맑은 공기와 산봉우리의 아름다운 정취가 일품이다. 곳은 애견 서비스와 음식을 동시에 즐길 수 있는 반려견카페다. 주인과 반려견이 각각 입장료(성인 음료 포함 8천원, 반려견 3천원)를 내고 들어가는 이곳은 볶음밥, 에그에그샌드위치, 라면, 호떡, 치즈케이크, 에이드 등 다양한 종류의 식사와 디저트를 판매하고 있다. 또한 야외 잔디밭과 실내 인조 잔디, 포토존 등 반려견과 즐거운 시간을 보낼 수 있는 시설들이 잘 갖춰져있다. 카페 인근에는 팔공산도립공원, 팔공산금화자연휴양림, 팔공산케이블카, 동화사, 파계사 등의 관광지가 있어 연계 관광이 가능하다.",0507-1302-2636,,,주차가능,0,,매일 11:00 - 21:00,매주 수요일,볶음밥,"에그에그샌드위치, 라면, 호떡, 치즈케잌",,,가능,가능,가능,"화장실:가능 (남녀 구분 실내)
",20140160472
리안,42068,,,대구광역시 수성구 교학로4길 48(만촌동),35.8553809876,128.6503971306,"대구 수성구 만촌동에 위치한 리안은 수성대학교와 인접해 있어 특히 학생들에게 큰 사랑을 받고 있는 중식당이다. 이곳의 시그니처는 두툼하고 쫀득한 탕수육과 야끼우동이다. 고구마 전분을 사용해 쫀득하고 고소한 맛이 일품인 탕수육은 큼지막한 고기를 사용해 푸짐한 것이 특징이며, 밀가루를 사용하지 않는 것이 특징. 특제 소스로 해산물과 야채를 볶은 야끼우동은 우동면을 쓰는 다른 우동과는 달리 짬뽕 면이 들어가 있는 것이 특징이다. 오징어, 칵테일 새우, 양파, 목이버섯, 양배추가 함께 들어간 리안의 야끼우동은 특유의 매콤달콤한 맛으로 미각을 자극한다. 저렴한 가격의 짜장면, 짬뽕, 짬짜면 등도 학생들의 인기 메뉴. 주변에 프로야구팀 삼성라이온즈의 홈 경기장인 대구삼성라이온즈파크가 있어 경기 전후에 식사하기 좋으며, 지역에서 이름난 중식당이기에 대기가 있을 수 있다.",053-746-0203,,,있음(건물 뒤 전용주차장),0,,매일 11:30 - 21:00,명절 휴무,"탕수육, 야끼우동","짜장면, 짬뽕, 짬짜면",,,가능,가능(탕수육 소),불가능,"부대시설:남녀 구분 내부

",20010174936
구공탄막창형님본점,41824,,,대구광역시 서구 서대구로 120(평리동),35.8687443951,128.5557134322,"대구 서구 평리동에 있는 구공탄막창 형님본점은 막창으로 유명한 대구에서도 명성이 자자한 맛집이다. 추억의 간식 옥수수 쫀드기를 구워 먹으며 기다리고 있으면 초벌구이 된 막창이 바로 데워먹을 수 있게끔 제공된다. 밑반찬으로는 갖은 채소와 콩나물국, 간장 양파절임, 막장이 나온다. 불향이 입혀진 통통하고 부드러운 막창을 막장에 찍어 쌈에 싸 먹으면 풍미가 좋다. 쌈 채소 없이 막창만 먹어도 막창 특유의 겉바속촉 식감을 느낄 수 있어 좋다. 버섯을 큼직하게 넣고 칼칼하게 끓여낸 버섯된장찌개 역시 별미다. 주변에 두류공원과 이월드가 위치하고 있어 식사 전후로 방문해보는 것도 좋다.",053-573-9282,,,있음,0,,매일 17:00 - 24:00,명절 휴무,돼지막창,"생삼겹살, 생목살, 버섯된장찌개",,,가능,,불가능,"화장실:남녀 구분 내부

",20070163048
김태근한방요리,42663,김태근한방요리,053-653-5044,대구광역시 달서구 큰장로 9,35.8609928341,128.5741314691,"한약재의 본산 대구에서 약이 되는 먹거리를 즐길 수 있는, 대구 최초의 한방 고기 전문점이다. 이곳은 한약재의 향기가 배어있는 한우고기의 맛을 즐길 수 있다.",053-653-5044,,,주차 가능,0,,10:00 ~ 23:00,연중무휴,양념갈비 / 갈빗살,양념갈비 / 갈빗살 / 소불고기 / 삼겹살 외,,모두 금연석,가능,가능,전화 예약 문의 (053-653-5044),"화장실:남녀개별 / 업소 내부 위치
",20020182860
아사다라,42217,,,대구광역시 수성구 용학로 116-12,35.8239590006,128.6210172583,"맛있는 곳, 가고 싶은 곳, 편안한 곳, 여유 있는 곳""을 지향하는 한정식 & 한우고기 전문점인 이곳은 동화에서 나옴직한 울타리와 정원이 먹는 즐거움을 한층 더해준다.<br>",053-765-9999,,,주차 가능,0,,11:00 ~ 22:00,명절연휴,명품한우,명품한우 / 전복갈비탕 / 육회비빔밥 / 한우불고기정식 외,,모두 금연석,가능,,전화 예약 가능 (053-765-9999),"화장실:남녀개별 / 업소 내부 위치
",20010174100
안압정,42030,안압정,053-742-3369,대구광역시 수성구 달구벌대로 2507,35.8593608419,128.6368148824,"꽃과 나무, 폭포 등 자연을 그대로 옮겨 놓은 듯한 아름다운 자연경관이 입맛을 한층 돋우는 이곳은 최상품의 소고기와 자연식 반찬, 그리고 간장 게장 맛이 일품인 한정식집이다.",053-742-3369,,,주차 가능,0,,12:00 ~ 22:00,일요일,한정식,한정식 / 양갈비 외,,모두 금연석,가능,가능,전화 예약 가능 (053-742-3369),"화장실:남녀개별 / 업소 내부 위치
",
기리,42087,,,대구광역시 수성구 달구벌대로492길 27(범어동),35.8572332382,128.6332152585,"대구 수성구 범어동에 있는 기리는 다양한 카츠 정식과 면류 등을 판매하는 일본식 돈카츠 전문점이다. 카츠 정식 중에서도 안심 카츠 정식은 마블링의 고소한 풍미와 안심 특유의 부드러운 식감을 살렸다. 전체적으로 촉촉한 느낌이지만 안심을 둘러싼 튀김옷은 바삭함을 유지하고 있어 겉바속촉의 조화를 이룬다. 돈카츠는 소금 또는 고추냉이에 찍어 먹을 수 있고, 정식 기본 찬으로 장아찌, 마늘쫑, 장국, 푸딩 등이 함께 나온다. 부드러운 고기와 국물의 감칠맛이 일품인 네기 니쿠 우동도 돈카츠와 같이 먹기 좋다. 인근에 범어공원과 야시골 공원이 자리하고 있어 식후에 산책 삼아 방문해보는 것도 좋다.",053-752-6002,,,있음-식당 앞 공영주차장,0,,매일 11:30 - 21:30 재료 소진 시 조기마감/ Breaktime 15:30 - 17:00,연중무휴,안심 카츠 정식,"등심 카츠 정식, 네기 니쿠 우동, 기리 시오 라멘",,,가능,,"가능(주말, 공휴일은 불가능)","화장실:남녀 구분 내부

",20170174291
수봉반점,41576,,,대구광역시 북구 대현남로2길 60(대현동),35.8782859163,128.6064281427,"대구 북구 대현동에 있는 수봉반점은 1971년부터 49년의 전통을 이어오고 있는 '백년 가게' 중식당이다. 창업주인 노신자, 장병화 부부가 변함없는 맛을 지켜오고 있다. 대표 메뉴는 돼지기름에 돼지고기와 주키니호박, 양파, 배추, 파, 당근 등 다양한 채소를 볶아 고춧가루와 마늘, 후추로 간을 해 흰 쌀밥과 비벼 먹는 ‘중화비빔밥’이다 숨이 살아있는 채소와 부드럽게 씹히는 돼지고기가  불맛이 살아있는 양념과 조화롭게 어우러진다. 돼지고기와 함께 홍합, 오징어를 사용해 시원한 국물 맛을 살린 짬뽕도 인기 메뉴다. 식사는 시간대별로 나눠 운영하며 미리 메뉴를 주문한 후 정해진 시간에 맞춰 매장에 방문하면 된다. 대구 지하철 1호선 칠성시장역이 가깝고, 칠성시장 역시 인근에 자리하고 있어 식사 전후로 구경하기 좋다.",053-941-1503,,,있음(약 150m 전방 대구신광교회 주차장 이용) / 주차요금 없음,0,,매일 11:00-15:00,"매주 일요일, 목요일","중화비빔밥, 짬뽕","중화비빔면, 볶음밥",,,가능,,가능(시간대별로 현장예약),"화장실:남녀 구분 내부

",
연경반점,42151,,,대구광역시 수성구 수성로 222(중동),35.8452508912,128.6131840223,"대구 수성구 중동에 있는 연경반점은 요리 메뉴로 유명한 중식당이다. 전복과 새우, 대게 살 등의 신선한 해산물과 송이버섯의 향이 잘 어우러진 전가복은 이 집의 대표 메뉴다. 특전가복, 오룡해삼, 금전전복, 누룽지탕 등의 요리가 차례로 나오는 연경정식도 10명 이상의 인원이 모이는 단체 손님들에게 인기다. 1층은 탁 트인 홀이 있으며, 2층에는 프라이빗한 룸이 준비되어 있다. 얇고 바삭한 튀김을 자랑하는 탕수육을 비롯해 짜장면, 짬뽕 등 간단한 식사를 위한 메뉴 역시 함께 판매되고 있다. 인근에 수성못과 범어공원이 자리하고 있어 식사 후에 산책 삼아 방문해보는 것도 좋다.",053-763-5988,,,있음,0,,일 11:30 - 21:30 (L.O 20:50) / 브레이크타임- 15:00 - 17:00 (L.O 14:30),명절 휴무,전가복,"특전가복, 오룡해삼, 금전전복, 누룽지탕, 탕수육",,,가능,가능,가능,"화장실:남녀 구분 내부

",20040175085
애기똥풀,42825,,,대구광역시 달서구 앞산순환로 195(송현동),35.8217996421,128.5520817215,"대구 달서구 송현동에 있는 애기똥풀은 다양한 한상 차림을 판매하는 한정식 전문점이다. 집밥을 떠올리게 하는 여러 종류의 한상 차림 중에서도 대표 메뉴인 '애기똥풀 한상'은 숯불소갈비살과 돌솥밥, 된장찌개, 버섯탕수, 양초보쌈, 고등어구이와 11가지 반찬이 제공되는 푸짐한 한상 차림이 특징이다. 애기똥풀의 한상차림은 최상급 로컬푸드의 식재료와 102가지 야생 약초로 만든 산야초 효소로 맛을 내고 신안 천일염과 의성 안계쌀, 3년 묵은 재래식 된장으로 정성껏 차려내 풍부한 맛과 향을 느낄 수 있다. 각종 한상은 도시락으로 판매되기도 하니 참고하면 좋다. 근방에 대구 앞산이 자리하고 있어 산행 전후로 들르면 맛있는 한정식을 제대로 만끽할 수 있다.",053-628-0411,,,있음 / 주차요금 무료,0,,평일 11:00 - 21:00<br>토요일09:00 - 21:00<br>일요일 16:00 - 21:00<br>평일 15:00 - 16:30 Break time,연중무휴,애기똥풀한상,"약초보쌈 한상, 코다리 찜 한상, 더덕구이, 떡갈비, 보리굴비",,,가능,가능,가능,"화장실:층별 남녀 구분

부대시설:4층 단체석, 연회장, 미니경혼식, 돌잔치 가능-약 100명 수용


",20150182075
개정,41938,개정,053-422-0366,대구광역시 중구 동성로 36-6,35.8730779485,128.5942793581,"대구 중심가에 위치하고 있는 이곳은 영양 손실 최소화와 음식 궁합에 근거해 창업자가 직접 개발한 ""개정"" 만의 비법으로 모든 음식을 요리하고 있다.",0507-1331-0336,,,,0,,11:00 ~ 21:00 (평일 브레이크타임 15:00 ~ 16:00),명절연휴,물냉면 / 전주비빔밥,물냉면 / 전주비빔밥 / 돌솥비빔밥 / 육회비빔밥 외,,모두 금연석,가능,가능,전화 예약 문의 (053-422-0366),"화장실:남녀개별 / 업소 내부 위치
",19820158088
대하닭갈비,41938,대하닭갈비,053-427-3331,대구광역시 중구 동성로6길 45(공평동),35.8689923664,128.5978985971,"대하닭갈비는 대구 동성로 로데오거리 인근에 위치한 닭갈비 전문점으로 닭갈비, 닭내장, 막국수를 메뉴로 하며, 닭갈비에 각종 사리를 추가하여 맛볼 수 있다.<br>",053-427-3331,,,,0,,11:00 ~ 22:30,연중무휴,닭갈비,닭갈비 / 닭내장 / 쟁반막국수 외,,모두 금연석,가능,가능,전화 053-427-3331,,19860158112
집밥아미정,41517,집밥아미정,053-382-2238,대구광역시 북구 유통단지로8길 80(산격동),35.9057301620,128.6135184197,대구 북구 산격동에 위치한 집밥아미정은 전통의 맛을 즐길 수 있는 한정식 전문 음식점이다. 음식이 정갈하고 분위기가 좋아 상견례 장소로도 많이 이용되고 있다.<br>,053-382-2238,,,주차 가능,0,,09:30 ~ 21:30,명절연휴,한정식,한정식 / 간고등어정식 / 불고기전골 외,,모두 금연석,가능,,전화 예약 가능 (053-382-2238),"화장실:남녀개별 / 업소 내부 위치
",20030168320
서민갈비,42174,,,대구광역시 수성구 들안로 8-5(두산동),35.8307192788,128.6173340615,"대구 수성구 두산동에 있는 서민갈비는 제주 흑돼지구이 전문점이다. 흑돼지를 사용함에도 저렴한 가격으로 인기가 많다. 이곳의 대표 메뉴인 '김재동갈비(한돈삼겹돼지갈비)'를 비롯해 제주 흑돼지 갈비, 제주 흑돼지 생구이 등의 고기 메뉴와 전복구이, 전복 뚝배기, 막국수, 냉면 등의 사이드 메뉴가 있다. 갈비는 직원이 직접 참숯에 구워 준다. 부드러운 식감의 갈비를 먹은 뒤에는 전복과 된장을 넣고 끓인 '전복 뚝배기'를 밥과 함께 먹으면 든든하다. 인근에 수성못이 있어 식사 후에 산책하며 둘러보기 좋다.",053-761-2267,,,있음 / 주차요금 무료,0,,매일 11:30 - 23:00,"명절 전일, 당일 휴무",김재동갈비,"전복뚝배기, 막국수, 제주 흑돼지생구이",,,가능,가능,가능,"화장실:남녀 구분 내부

",20010174825
오스테리아밀즈,42031,,,대구광역시 수성구 동원로1길 26(범어동),35.8598663744,128.6386702606,"대구 수성구 범어동에 있는 오스테리아밀즈는 범어동에서 새롭게 떠오르고 있는 신흥 맛집이다. 클램차우더,  한치 먹물 리조또, 카프레제콜드카펠리니, 살치살 스테이크 등의 메뉴가 다양하게 준비되어 있다. 큐브 모양의 식빵, 조개, 감자, 양파, 베이컨을 함께 넣고 끓인 미국식 수프 클램차우더는 부드러운 맛과 함께 든든함을 준다. 한치 먹물 리조또는 치즈의 풍미가 정말 좋고 바삭거리는 토핑이 재밌는 식감을 선사한다. 아늑한 공간에 음악이 흘러나오는 가게 내부는 편안한 분위기에서 식사를 할 수 있도록 해 준다. 인근에 범어공원과 야시골 공원이 자리하고 있어 식후에 산책 삼아 방문해보는 것도 추천한다.","<a href=""https://www.instagram.com/osteriamills/"" target=""_blank"" title=""새창 : 오스테리아밀즈 사이트로 이동"">https://www.instagram.com/osteriamills/</a>",,,있음(매장 앞 최대 2대) / 주차요금 없음,0,,11:00 ~21:00 / Breaktime-15:30 ~ 17:00,"설 당일, 추석 당일","클램차우더, 한치먹물리조또","클램차우더, 한치먹물리조또, 카프레제콜드카펠리니, 살치살스테이크",,,가능,밀키트 포장 가능,불가능,"화장실:남녀 공용

",
커피플라자,42491,,,대구광역시 남구 앞산순환로87길 49(대명동),35.8328209994,128.5728712513,"짙은 녹색과 우드톤의 색감이 편안함을 선사하는 이곳은 앞산카페거리의 커피플라자는 건물 외관에 색을 입히고, 카페 특유의 로고를 새긴 후 나무 의자를 두어 자연스러운 멋을 풍겨내며, 조용한 분위기와 커피만을 위한 공간으로 노력하는 곳이다.<br>",010-6863-5336,,,,0,,11:30 ~ 20:00,매주 수요일,"black, white",,,,없음,,,,20180167002
더크,42487,,,대구광역시 남구 안골길 42(대명동),35.8369539358,128.5767013550,"세련된 인테리어가 돋보이는 더크는 추구하는 목표에 도전하고, 결과에 만족하는 즐거움을 공유하고 싶다는 경영관을 지니고 있으며, 방문객에게 편안과 만족을 선사하는 아지트가 되고 싶다는 마음으로 카페를 운영하고 있다. 감각적인 인테리어와 아름다운 사진으로 감성의 풍요를 선물해주는 카페로 많은 이들이 찾고있다.<br>",010-3003-5147,,,,0,,매일 12:00 ~ 22:00,연중무휴,"시그니처 라떼, 커스터드 퀸 아망","아메리카노, 에스프레소, 라떼 등",,,없음,,,,20210167421
서울분식,42439,,,대구광역시 남구 봉덕로 115(봉덕동),35.8450757322,128.6034765490,"서울분식은 대구 남구 봉덕동 봉덕신시장에 있다. KBS 1TV '6시 내고향'에 소개된 바 있다. 대표 메뉴는 떡볶이다. 이 밖에 찹쌀순대, 소떡소떡, 김밥, 납작만두, 잎새만두, 튀김, 어묵을 판다. 모든 메뉴는 포장이 가능하다. 분식집은 대구 지하철 1호선 영대병원역에서 가깝고, 주변에는 봉덕맛길, 상락선원이 위치해 있다.",053-474-0246,,,없음,0,,주중 10:00~03:30,목요일,떡볶이,"찹쌀순대, 소떡소떡, 김밥, 납작만두, 잎새만두, 튀김, 오뎅",,,없음,가능,,,20210167203
한우장,41918,한우장,053-257-1125,대구광역시 중구 국채보상로 567,35.8740361026,128.5904435579,대구시 선정 향토 전통음식점으로 밥과 국이 따로 나오는 따로국밥 전문점이다.,053-257-1125,,,주차 가능,0,,00:00 ~ 24:00,연중무휴,따로국밥,따로국밥 / 설렁탕 / 꼬리곰탕 / 소고기수육 외,,모두 금연석,가능,가능(일부 메뉴),전화 예약 가능 (053-257-1125),"화장실:남녀공용 / 업소 내부 위치 
",19890158015
대구전통따로식당,41918,대구전통따로식당,053-257-1476,대구광역시 중구 국채보상로 563-1,35.8709809295,128.5924184691,대구시 선정 향토 전통 음식점으로 밥과 국이 따로 나오는 따로국밥 전문점이다.,053-257-1476,,,주차 가능(유료),0,,00:00 ~ 24:00,연중무휴,따로국밥,따로국밥 / 따로선짓국 / 설렁탕(곰탕) / 수육 외,,모두 금연석,가능,가능(일부 메뉴),전화 예약 가능 (053-257-1476),"화장실:남녀개별 / 업소 내부 위치 
",19820158060
손중헌원조논메기매운탕,42906,손중헌원조논메기매운탕,053-583-0174,대구광역시 달성군 다사읍 부곡2길 7-9,35.8671592188,128.4456342911,손중헌원조논메기매운탕에서는 양식장에서 사용하는 지하수가 아닌 낙동강 강물을 이용하므로 자연 그대로 메기의 맛을 즐길 수 있다.,053-583-0174,,,주차 가능,0,,10:10 ~ 20:50,연중무휴,논메기매운탕 / 메기찜,논메기매운탕 / 메기찜 외,,모두 금연석,가능,가능(일부 메뉴),평일만 전화 예약 가능 (053-583-0174),"화장실:있음(남녀개별, 장애인용 / 업소 외부 위치)
",19950188025
성주곱창막창,42487,,,대구광역시 남구 대명로36길 63(대명동),35.8364761735,128.5746071080,"성주곱창막창은 대구시 남구 대명동 안지랑곱창거리 초입에 자리 잡고 있다. MBC 프로그램 생방송 오늘 저녁에 소개된 맛집이다. 대표 메뉴는 통마늘치즈곱창이다. 이 밖에 곱창, 막창, 불막창, 소막창, 차돌박이, 삼겹살을 맛볼 수 있다. 음식점은 대구 지하철 1호선 안지랑역에서 가까우며, 식당에서 앞산전망대가 가깝다.",053-626-1441,,,있음 / 주차요금 무료,0,,12:00~02:00,"1,3주 일요일",통마늘치즈곱창,"곱창, 막창, 불막창, 소막창, 차돌박이, 삼겹살",,,없음,가능,,,20050166221
아리조나막창,42203,,,대구광역시 수성구 용학로25길 45(두산동),35.8257866408,128.6247835430,"아리조나막창은 대구시 수성구 두산동에 자리 잡고 있다. 1990년부터 2대째 운영되고 있다. 대표 메뉴는 당일 손질, 당일 소진을 원칙으로 하는 생돼지막창이다. 이 밖에 계피, 당귀 등 한약재를 넣고 우려낸 육수에 삶은 웰빙막창을 비롯해 소막창, 차돌박이를 판다. 음식점은 대구 지하철 3호선 지산역에서 가깝다. 주변에는 아르떼수성랜드, 수성유원지가 위치해 있다.",053-782-9323,,,있음 / 주차요금 무료,0,,월~목 16:00~12:00 / 금~일 16:00~12:30,없음,생돼지막창,"웰빙막창, 소막창, 차돌박이",,,가능,가능,가능,,20150174264
돈박사곱창막창,42487,,,대구광역시 남구 대명로36길 79-1(대명동),35.8361762021,128.5743015882,"돈박사곱창막창은 대구시 남구 대명동 안지랑곱창거리에 있다. SBS 시사 교양 프로그램 모닝와이드에 소개된 바 있다. 대표 메뉴는 곱창, 막창, 염통을 모두 맛볼 수 있는 곱창한바가지다. 이 밖에 생막창, 염통꼬치, 삼겹살도 맛볼 수 있다. 돈박사곱창막창은 대구 지하철 1호선 안지랑역에서 가까우며, 주변에는 남구바다맛길이 위치해 있다.",053-624-1855,,,없음,0,,"주중 15:30~00:30, 주말 14:00~02:00","1,3주 일요일",곱창한바가지,"생막창, 염통꼬치, 삼겹살",,,없음,,,,20070166059
심야식당 스툴,41913,,,대구광역시 중구 동성로12길 18(문화동),35.8714115161,128.5967514083,"심야식당 스툴은 대구시 중구 문화동에 자리 잡고 있다. 대표 메뉴는 흑형 돈까스정식이다. 겉이 탄 것처럼 보이지만 실제로는 타지 않았으며, 바삭한 식감이 일품이다. 이 밖에 수제 등심돈까스정식, 하와이갈릭쉬림프, 명란파스타, 돈까스김치나베 등을 판다. 음식점은 대구 지하철 1호선 중앙로역에서 가깝다. 동성로에서 가깝다.",0507-1326-3047,,,없음,0,,17:00~02:00,없음,흑형돈까스정식,"수제등심돈까스정식, 하와이갈릭쉬림프, 명란파스타, 돈까스김치나베",,,없음,,,,20190159158
홍림곱창,42487,,,대구광역시 남구 대명로36길 58(대명동),35.8370677720,128.5745432085,"홍림곱창은 대구시 남구 대명동 안지랑곱창골목에 있다. KBS 2TV 예능 프로그램 배틀 트립에 소개된 적이 있다. 이곳은 안지랑곱창골목에서 최초로 치즈불곱창을 선보인 곳으로 알려져 있다. 생막창을 초벌 한 뒤 요리하기 때문에 겉은 바싹하고 속은 촉촉하다고 알려진다. 홍림곱창은 대구 지하철 1호선 안지랑역에서 가깝고, 음식점 주변에 앞산카페거리가 있다.",053-655-5903,,,주차가능,0,,11:00 ~ 02:00,,치즈불곱창,"생막창, 곱창한바가지, 간장곱창",,,가능,,,,20080166107
24시교동촌콩나물해장국밥,41456,,,대구광역시 북구 태전로 55(태전동),35.9252127729,128.5434101683,"24시교동촌콩나물해장국밥은 대구시 북구 태전동 대구보건대 앞에 있다. 
음식점 대표가 운영하는 농장에서 손수 재배한 재료로 각종 요리를 만든다. 대표 메뉴는 콩나물국밥이며, 콩나물비빔밥, 돼지국밥, 따로국밥도 맛볼 수 있다.
대구 지하철 3호선 구암역에서 가까우며, 주변에 태전공원, 구암공원, 칠곡가구거리가 위치해 있다.",053-312-7112,,,없음,0,,24시간,없음,콩나물국밥,"콩나물비빔밥, 돼지국밥, 따로국밥",,,없음,,,,20010169533
대백손칼국수,41948,대백손칼국수,053-423-2792,대구광역시 중구 동덕로 114(삼덕동2가),35.8648068280,128.6032565752,시원하면서도 구수한 변함없는 맛으로 손님들에게 인기 있는 칼국수 전문점이다. 20여 년 외길만을 고집해온 전통의 맛으로 덤으로 나오는 보리밥과 된장은 이곳만의 자랑이다.,053-423-2792,,,주차 가능,0,,10:00 ~ 21:00,토요일,손칼국수,손칼국수 / 칼제비 / 해물파전 외,,모두 금연석,가능,,전화 예약 문의 (053-423-2792),,19920158065
안지곱창막창,42487,안지곱창막창,053-622-3086,대구광역시 남구 대명로36길 63,35.8364122915,128.5745876672,"※ 영업시간 10:00 ~ 22:00

대구 안지랑 곱창골목에 위치한 곱창, 막창 전문점이다.",053-622-3086,,,,0,,10:00 ~ 22:00,첫째·셋째주 일요일,곱창,곱창 / 막창 / 삼겹살 / 돼지두루치기 / 염통구이 외,,모두 금연석,가능,가능,전화 예약 문의 (053-622-3086),,20030166293
8번식당(7전8기8번식당),41921,,,대구광역시 중구 서성로13길 8(서성로1가),35.8724001118,128.5869133591,"8번식당은 대구 중구 서성로1가에 있다. 1976년 개업한 이곳은 유명인들의 방문이 잦은 소문난 맛집이다.
대표 메뉴는 모듬 수육이다. 수육 외에 막창순대와 섞어국밥도 판다.
8번식당은 대구 지하철 3호선 서문시장역에서 가까우며, 주변에는 대구아쿠아리움, 김광석다시그리기길 등이 있다.",053-255-0167,,,있음,0,,"월~토 10:00~22:00, 일요일 10:00~21:00",없음,모듬수육,"막창순대, 섞어국밥",,,가능,,,,19980158288
트룰리베이커,41959,,,대구광역시 중구  봉산문화1길 (32),35.8632263733,128.5990042157,트룰리베이커는 대구 중구에 위치하고 있는 유기농 베이글 전문점으로 100% 유기농 밀가루와 저온숙성으로 베이글이 만들어진다. 트룰리베이커는 특히 레인보우베이글이 유명한데 특유의 색감이 유니크한 가게 분위기와 아주 잘 어울리며 하이틴 감성을 자극한다. 주문은 카운터 옆에 베이글이 쌓여있고 또 그 옆에 다양한 크림치즈들이 진열되어 있다. 주문하면 바로 베이글을 꺼내서 굽고 크림치즈를 발라주는 루트이다. 카운터 뒤에는 베이글 빵을 굽는 공간이 있어서 베이킹하는 모습도 볼 수 있다.,053-254-3378,,,,,,11:00 ~ 20:00,매주 화요일,시그니처 샌드위치,시그니처 샌드위치 / 땅콩버터 베이글 / 바질크림치즈 베이글 외,,,가능,가능,,,20200159415
쵸이라멘,41937,,,대구광역시 중구 국채보상로 582 미도빌딩,35.8707226616,128.5943821921,"쵸이라멘은 교보문고 바로 옆에 위치하고 있어 접근성이 좋다. 책 구입하고 라멘 먹으면 딱 좋은 코스이다. 진한 편이지만 느끼하진 않은 깔끔한 국물, 불향 가득한 차슈. 바삭한 교자까지 빠짐 없이 맛있는 후기가 많다. 가게는 조금 협소한 편이지만, 칸막이가 설치되어있고, 그릇이나 조리기구도 깨끗해서 위생에 많이 신경쓴다는 걸 알 수 있다.",0507-1358-8051,,,,,,12:00 ~ 20:00,매주 월요일,돈코츠라멘 / 카라이라멘,돈코츠라멘 / 카라이라멘 / 블랙쇼우라멘 외,,,,,,,20190159864
조밀,41943,,,대구광역시 중구 달구벌대로 2115-2,35.8655871474,128.5952183720,대구 동성로에 위치한 레스토랑 '조밀'<br>반월당역 11번 출구에서 멀지 않다. 시그니처 메뉴는 조밀 스테이크다. 스테이크 접시에는 빈공간이 있는데 음식이 서빙된 후 자리에서 감자치즈를 폭포처럼 부어준다. 이러한 퍼포먼스로 눈과 입이 함께 즐거워진다.,070-8888-0505,,,,,,11:30 ~ 21:30 (브레이크타임 15:00~17:00),화요일,조밀 스테이크,조밀 스테이크 / 마늘쫑 오일파스타 / 마늘 퓨레 파스타 / 새우 바질리조또 등,,,,,,,20190159230
부케,41912,,,대구광역시 중구 경상감영길 213(동문동) 2층,35.8718837264,128.5990011973,"부케는 대구 중구 동문동에 위치한 감성 레스토랑이다. 은은한 조명 아래 곳곳에 배치된 꽃 장식으로 결혼식장에 온 듯한 무드를 느낄 수 있다. 에피타이저로 나오는 마시멜로우가 올라간 크래커가 인기가 있고, 다양한 메인 요리와 사이드 요리가 제공된다.",010-6487-9201,,,,,,"매일 11:30-21:00 (브레이크타임 15:40~17:00)<br>라스트오더 14:50, 20:20",,부케(파스타),부케(파스타) / 이베리코 스테이크 외,,,가능,,,,20210159178
