명칭,우편번호,관리자,전화번호,주소,위도,경도,개요,문의 및 안내,규모,판매품목,품목별 가격,장서는 날,개장일,영업시간,쉬는날,매장안내,주차시설,문화센터 바로가기,유모차 대여 여부,애완동물 동반 가능 여부,신용카드 가능 여부,화장실,상세정보
와룡시장,,,,대구 달서구 신당동 1750,35.8573890890,128.4993492702,"와룡시장은 문화관광형시장이다. 150여 개의 점포로 이뤄졌으며 1994년에 형성되어 현재까지 달서구 지역의 대표 거점시장으로 명맥을 이어오고 있다. 시장은 아파트 단지가 밀집한 중심 상권에 있어 뛰어난 배후 상권을 보유하고 있다. 지하철 2호선이 지나가 접근성이 좋다. 아울러 100대 규모의 와룡공원 지하 공영주차장이 설치되어 있다. 2011년 시설현대화 사업을 통해 아케이드 조성사업을 완공하였고, 2015년 협업화 사업, 2016년 골목형시장 육성사업을 거쳐서 2019년 중소벤처기업부의 문화관광형시장 육성사업에 선정되어 문화와 관광이 접목된 문화관광 특화시장으로 새롭게 변화하고 있다.<br>*사진 출처: 대구광역시청",053-587-3332,,"각종 먹거리, 채소류, 생선류, 육류, 의류, 생활용품 등",,,,08:00-23:00,개별휴무,"대지면적 15,083㎡ / 연면적 25,718㎡ / 매장면적 6,075㎡ / 167개소",있음(소형 100대),,없음,없음,없음,있음,
효목시장,41168,,,대구광역시 동구 아양로50길 22-2(효목동),35.8858245613,128.6394166928,"효목시장은 1980년에 문을 연 소규모 시장이다. 시장에는 통닭, 족발, 도넛, 칼국수 등 각종 먹거리를 파는 상점이 있다. 이 밖에 채소류, 생선류, 육류를 파는 상점도 자리 잡고 있다. 시장과 가까운 거리에 지하철 아양교역이 있다. 동촌유원지 등 관광지도 있어 방문해보기 좋다.<br><br>*사진 출처: 대구시 동구청",053-662-2000,,"각종 먹거리, 채소류, 생선류, 육류",,,,점포별로 상이,점포별로 상이,,주차가능,,없음,없음,없음,가능 (남녀 구분),
신매시장,42275,,,대구광역시 수성구 신매로16길 56-3(신매동),35.8381312658,128.7101229109,"신매시장은 대구 수성구에 자리 잡은 대형 시장이다. 대구에서도 대규모 시장에 속하는 이곳은 2021년 8월 현재 180여 개 상점이 성업 중이다. 그런 만큼 먹고 싶은 음식이나 필요한 상품을 어려움 없이 구매할 수 있다. 인근에는 신매광장, 대구 자연관찰 학습원, 노변동 사직단 등 관광지도 많다.<br>*사진 출처: 대구광역시청",053-792-7924,,"각종 먹거리, 채소류, 생선류, 육류, 의류, 생활용품 등",,,,07:00-22:00,상점별 개별 휴무,"대지면적 19,756㎡ / 연면적 32,842㎡ / 매장면적 10,775㎡ / 186개소",없음,,없음,없음,없음,있음,
글라스바바안경 동성로점,41937,,,대구광역시 중구 중앙대로 404 (남일동),35.8692672629,128.5939489370,-,053-423-9001,,안경,,월~일요일,,09:30~21:30,명절,"이용환급창구 운영사업자 : 글로벌텍스프리(GTF), 환급서비스 제공방식 : 사후",불가능,,,,가능,,
아레나스포츠 대구중앙로점,41909,,,"대구광역시 중구 국채보상로 580A열1,2,3",35.8708809922,128.5952098924,-,053-426-4990,,스포츠 용품 및 의류,,월~일요일,,11:00~22:00,"월1회 월요일, 명절","이용환급창구 운영사업자 : 글로벌텍스프리(GTF), 환급서비스 제공방식 : 즉시+사후",불가능,,,,가능,완비,
올리브영 동대구터미널,41246,,,대구광역시 동구 효신로 11,35.8743757514,128.6337008492,-,053-741-6706,,"식료품,향수 및 화장품",,월~일요일,,09:00~22:30,,"이용환급창구 운영사업자 : 투어텍스리펀드, 환급서비스 제공방식 : 사후",가능,,,,가능,완비,
팍스뮤직,41909,,,"대구광역시 중구 국채보상로 580B열5,6",35.8708809922,128.5952098924,-,053-422-9105,,기타 소매,,월~일요일,,11:00~22:00,"월1회 월요일, 명절","이용환급창구 운영사업자 : 로드시스템, 환급서비스 제공방식 : 즉시",불가능,,,,가능,완비,
서남시장,42641,,,대구광역시 달서구 달구벌대로329길 17(감삼동),35.8543930480,128.5451592047,"서남시장은 대구 지하철 2호선 감삼역에서 도보로 5분가량 걸린다. 이곳은 다른 재래시장과는 달리 입구에 카트가 비치돼 있다. 이 덕분에 재래시장에서 카트를 끌며 쇼핑을 즐길 수 있다. 또한 저렴한 가격에 좋은 품질의 상품을 구입할 수 있다. 각종 먹거리를 비롯해 채소류, 생선류, 육류, 의류, 생활용품 등을 파는 상점이 들어찼다. 시장 인근에 중리동 곱창 골목, 두류공원 등이 있어 연계 관광이 용이하다.<br>*사진 출처: 대구광역시청",053-565-3226,,"각종 먹거리, 채소류, 생선류, 육류, 의류, 생활용품 등",,,,08:00-21:00,상점별로 다름,"대지면적 2,320㎡ / 연면적 1,599㎡ / 매장면적 1,338㎡ / 55개소",있음,,없음,없음,없음,있음,
달서시장,42676,,,대구광역시 달서구 당산로 35(본리동),35.8402363008,128.5442652325,"달서시장은 1986년에 처음 문을 연 전통시장이다. 달서종합상가 1차와 2차가 합쳐진 상가건물형으로 이뤄졌다. <br>시장 입구에는 카트가 마련되어 있어 편하게 장보기에 나설 수 있다. <br>시장 내부에는 각종 먹거리, 채소류, 생선류, 육류, 의류, 생활용품 등을 파는 상점이 성업 중이다.<br><br>*사진 출처: 대구광역시청",053-527-5716,,"각종 먹거리, 채소류, 생선류, 육류, 의류, 생활용품 등",,,,상점별로 다름,상점별로 다름,,"유료-최초 30분 300원, 이후 10분마다 200원",,없음,불가,가능,,
원대신시장,41730,,,대구광역시 서구 달서로54길 6(원대동3가),35.8855789522,128.5748251685,"원대신시장은 1976년에 문을 열었으며, 41개의 점포로 이루어진 자그마한 소형시장이다. 천장에 아케이드를 조성하여 계절이나 날씨에 관계없이 언제나 장보기에 나설 수 있다. 시장에는 각종 먹거리를 비롯해 채소류, 생선류, 육류, 의류, 생활용품 등을 파는 상점이 들어찼다.",053-358-7632,,"각종 먹거리, 채소류, 생선류, 육류, 의류, 생활용품 등",,,,점포마다 상이,점포마다 상이,,"있음 / 주차요금 유료(1회 주차 최초 1시간 1,000원)",,없음,없음,없음,,
새길시장,41810,,,대구광역시 서구 달서로4길 17-7(내당동),35.8643951909,128.5721898789,"대구 서구 내당동에 위치한 새길시장은 65개 점포로 이루어진 소규모 시장이자 상가주택복합형시장이다. 새길시장의 먹거리로는 두루치기와 불고기 등이 있으며, 특히 두루치기 맛이 좋기로 소문이 자자하다. 시장은 아침 7시에 영업을 시작하여 저녁 8시에 문을 닫는다.인근 관광지로는 반고개 무침회골목, 서문시장, 달성공원, 이월드 등이 있다.<br>*사진 출처: 대구광역시 서구청 공식 블로그",053-571-2459,,"곡물, 채소, 어류 등",,,,07:00-20:00,셋째 주 일요일,,없음,,없음,없음,없음,,
관음시장(대구),41441,,,대구광역시 북구 관음중앙로28길 1(관음동),35.9449494955,128.5472342800,"대구광역시 북구 관음동에 위치한 관음시장은 1994년에 개장하여 운영 중인 상설 시장이다. 작은 식당과 떡가게, 과일가게, 채소, 건어물 등의 점포가 영업하고 있다. 2021년 10월 현재 25개 상점이 영업 중이다. 시장 내부는 협소하지만, 외부에도 도로를 따라 많은 상점이 분포되어 있다. 인근에 아파트단지와 주택가가 밀집되어 있어 관음동 주민들이 많이 찾으며, 시장 내에 위치한 관음떡집은 겉모습은 허름하지만 줄서서 기다릴 정도로 유명한 떡집이다. 평일 약 200명, 주말에도 약 200여 명의 고객이 다녀간다. 주변에 팔공산도립공원, 칠곡향교, 운암지 등의 관광지가 모여있어 연계관광이 가능하다.",053-951-6660,,"농수산물, 잡화류, 건어물 등",,,상설시장,08:00 ~ 20:00,연중 무휴(개별휴무),지상 약 25개 점포 운영,,,없음,가능,가능,2개 남녀구분,
스윙앤플라맹고,41909,,,"대구광역시 국채보상로 580지하1층3,4호",35.8708809922,128.5952098924,-,010-4074-4946,,스포츠 용품 및 의류,,월~일요일,,10:30~22:00,"월1회 월요일, 명절","이용환급창구 운영사업자 : 글로벌텍스프리(GTF), 환급서비스 제공방식 : 즉시+사후",불가능,,,,가능,완비,
사계절,41909,,,"대구광역시 중구 국채보상로 580F열1,2호",35.8708809922,128.5952098924,-,053-422-4720,,신발,,월~일요일,,11:00~22:00,"월1회 월요일, 명절","이용환급창구 운영사업자 : 로드시스템, 환급서비스 제공방식 : 즉시",불가능,,,,가능,완비,
명시당,41918,,,대구광역시 중구 경상감영 1 길 442층,35.8730307082,128.5930072488,-,053-253-2103,,보석(장신구),,월~토요일,,10:00~18:00,명절,"이용환급창구 운영사업자 : 글로벌텍스프리(GTF), 환급서비스 제공방식 : 사후",불가능,,,,가능,,
침산골목시장,41552,,,대구광역시 북구 노원동1가 19-17,35.8904479315,128.5795023986,"대구광역시 북구 침산동에 있는 침산골목시장은 언제 형성되었는지, 언제부터 쇠퇴하였는지 모를 정도로 작은 골목 하나에 형성된 시장이다. 겉모습만 봐서는 차도와 인도가 구분되어 있지 않아 시장의 모습은 아니지만 한 때는 빽빽하게 점포가 들어설 정도로 황금기가 있었다. 지금은 주변에 공장이 많이 생겨 주민의 발길이 많이 끊어진 채로 약 10여 개의 점포만이 명맥을 유지하고 있다. 약 100m 정도의 골목 양 옆으로 과일가게, 반찬가게, 식당, 분식집이 모여있다. 골목 입구에 세워진 '침산골목시장' 입간판이 그나마 이곳이 시장이라는 것을 알려준다. 때문에 간혹 단골손님이라도 점포에 찾아오면 반갑게 맞이해 준다. 주변에 침산공원, 금호강이 있어 들러보면 좋다.",053-951-6660,,"농수산물, 잡화류",,,상설시장,07:00 ~ 20:00,연중 무휴 (개별휴무),지상 약 10개 점포 운영,,,없음,가능,가능,,
황금시장,42143,,,대구광역시 수성구 청솔로 19(황금동),35.8484506546,128.6199805573,"대구광역시 수성구 황금동에 있는 황금시장은 1970년에 개장한 50년이 넘은 상가주택복합형 중형 시장이다. 총 174개 점포 중 시장 내부 점포는 모두 빠지고 지금은 식자재 마트가 입점해 있다. 도로를 따라 방앗간, 음식점 등 외부 상점만 운영중이다. 주변에 아파트단지 신축공사가 이뤄지고 있어 입주가 시작되면 시장도 활기를 되찾을 수 있을 것으로 보인다. 이에 따라 시장 번영회에서는 추후 공실인 내부 점포 자리에 특산품 판매대와 로컬푸드, 먹거리존 등을 구성하여 시장 활성화를 위한 준비를 하고 있다. 주변에 대구어린이대공원, 수성못과 수성유원지가 있어 함께 들러보면 좋다.",053-951-6660,,"식자재, 반찬, 참기름(방앗간)",,,상설시장,09:00 ~ 23:00,연중무휴 (개별휴무),지상 약 30개 점포 운영,주차가능,,없음,가능,가능,가능 (남녀구분),
남문시장,41968,,,"대구광역시 중구 명륜로 70(남산동,남문아파트1지구)",35.8610987071,128.5919937818,"대구광역시 중구 명륜동에 있는 남문시장은  반월당역과 350m 거리에 있어 접근성이 좋다. 2021년 10월 현재 230여 개 상점이 성업 중이다. 규모로 따지면 서문시장, 칠성시장, 관문시장, 대명시장 등 대구에서 잘 알려진 큰 시장과는 비교가 되지 않지만, 시장과 함께 한 상인들은 오랜 세월 중구를 지켜온 터줏대감이라 할 수 있다. 남문시장에는 횟집과 식당이 있지만, 유명한 떡집 3곳이 있다. 서울떡집, 경남떡집, 낙원떡집이 바로 그 주인공이다. 매일 이른 새벽부터 떡을 만들고 직접 포장까지 하니 단골손님이 끊이지 않는다. 백설기, 인절미, 약밥 등 먹음직스러운 떡이 진열대에 줄을 서 있다. 그중에서도 남문시장 떡집에서 유명한 떡은 '콩떡'이다. 남문시장은  어린시절 보았던 시장통이 생각나게 하는 오래된 전통시장이다.",070-8615-0858,,"농수산물, 잡화류, 떡 등",,,상설시장,08:00~22:00,연중 무휴(개별휴무),지상 약 230개 점포 운영,,,없음,가능,가능,공중화장실,
상동시장,42165,,,대구광역시 수성구 상화로 38(상동),35.8346353876,128.6110761697,"대구광역시 수성구 상동에 있는 상동시장은 '상동슈퍼상가'로 시작해 시장으로 발전한 40년이 넘은 소규모 시장이다. 1998년 IMF 이전까지는 번성한 시장이었으나 IMF 위기를 겪으면서 점차 쇠락하기 시작하여 지금은 도로변 상점만이 남아 시장이라는 것을 증명하고 있다. 특히, 코로나-19를 겪으면서 사람들의 발걸음이 뜸해져 주변에 아파트단지가 밀집해 있음에도 좀처럼 시장 상권이 회복되지 않고 있다. 시장 안쪽에는 돼지국밥과 백반을 제공하는 허름한 식당 몇 개가 남아있어 이곳이 시장이었음을 알려준다. 상동시장에서는 돼지국밥과 콩국수가 유명하다. 주변에 수성못과 수성유원지가 있어 함께 들러보면 좋다.",053-951-6660,,"농수산물, 잡화류, 참기름",,,상설시장,08:00~20:00,연중 무휴(개별휴무),지상 약 20개 점포 운영,,,없음,가능,가능,,
서봉제화,41918,,,대구광역시 중구 서성로 14 길 91 (대안동),35.8731640203,128.5926683867,-,053-423-2984,,신발,,월~일요일,,10:00~19:00,명절,"이용환급창구 운영사업자 : 글로벌텍스프리(GTF), 환급서비스 제공방식 : 사후",불가능,,,,가능,,
OST 대구동성로,41941,,,대구광역시 중구 동성로6길 2-23,35.8680729837,128.5955654945,-,053-424-4002,,"시계,악세서리",,월~일요일,,10:00~22:00,명절,"이용환급창구 운영사업자 : 글로벌텍스프리(GTF), 환급서비스 제공방식 : 사후",불가능,,,,가능,,
킴스안경 대구동성로,41941,,,대구광역시 중구 동성로5길 43,35.8677813755,128.5969931555,-,053-256-7888,,안경,,월~일요일,,10:30~22:00,명절,"이용환급창구 운영사업자 : 글로벌텍스프리(GTF), 환급서비스 제공방식 : 즉시",불가능,,,,가능,,
하이마트 평리점,41824,,,대구광역시 서구 국채보상로 228,35.8703553307,128.5560800217,-,053-573-1110,,전자제품,,월~일요일,,10:30~20:30,명절,"이용환급창구 운영사업자 : 글로벌텍스프리(GTF), 환급서비스 제공방식 : 즉시",가능,,,,가능,완비,
대곡시장,42832,,,대구광역시 달서구 도원로 24(도원동),35.8076203860,128.5354919088,"대구광역시 달서구 도원동에 있는 대곡시장은 1997년에 개장하여 운영 중인 소형 시장이다. 작은 식당과 분식, 채소, 홈패션, 분식 등 작지만 다양한 매장이 분포되어 있다. 2021년 10월 현재 72개 상점이 영업 중이다. 인근에 아파트단지가 있어 도원동 주민들이 많이 찾으며, 최근 들어 저렴한 횟감과 건어물이 인기를 끌고 있다. 평일 약 50~100명, 주말에는 150~200여 명의 고객이 다녀간다. 인근에 다이소가 크게 들어서면서 유동인구가 늘어 시장으로의 고객 유입이 많아지고 있다. 주변에 선사유적공원, 월광수변공원, 대구수목원 등 대구의 대표 관광지가 모여있어 연계 관광이 가능하다.",053-951-6660,,"농수산물, 잡화류, 분식 등",,,상설시장,08:00~22:00,연중 무휴(개별휴무),지상 72개 점포 운영,,,없음,가능,가능,,
대동종합시장,42791,,,대구광역시 달서구 상원로 22-24(상인동),35.8117144100,128.5378249235,"대구광역시 달서구 상인동에 위치한 대동종합시장은 '동쪽으로 크게 뻗어있는 시장'이라는 뜻을 담고 있다. 이름에 담긴 뜻처럼 시장은 2012년 1, 2차 시설 현대화 사업을 통해 낡은 시장을 현대적인 시설로 탈바꿈하여 높은 천장과 넓은 내부를 자랑한다. 2021년 10월 현재 100여 개 상점이 성업 중이다. 1987년에 개장하여 복합상가 형태를 이루고 있으며, 농수산물, 식자재, 잡화 위주의 판매가 이루어지는 지역 밀착형 시장이다. 동서남북으로 입구가 있으며, 네모 형태의 시장 외곽에도 다양한 점포가 마련되어 있다. 시장 내외부에 다양한 식당이 있어 장을 본 후 허기를 채우기 좋다. 주차는 시장과 월배공원 사이 노상공영주차장을 이용하면 된다. 주변에 앞산, 월광수변공원, 대구수목원 등 대구의 대표 관광지가 모여있어 연계 관광이 수월하다.",053-951-6660,,"농수산물, 잡화류, 분식 등",,,상설시장,08:00~21:00,연중 무휴(개별휴무),지상 약 100개 점포 운영,있음-월배공원 사이 노상 공영주차장(유료),,없음,가능,가능,,
송현시장,42739,,,대구광역시 달서구 송현동3길 2(송현동),35.8308763522,128.5498899962,"대구광역시 달서구 송현동에 있는 송현시장은 1982년도에 형성된 소규모 시장이다. 한 때는 78개 점포가 성업하였을 정도로 큰 규모였지만 지금은 상가주택복합형 건물이 노후화가 심해 상가 내부에 위치한 점포들은 이전을 해, 빈 점포가 대부분이다. 인근 주택가 주민들을 대상으로 채소가게와 식당, 참기름집, 분식점 등 8곳이 영업을 이어가고 있으며, 시장 주변으로 상점가가 밀집하여 있다. 상가 내부에서 유일하게 가게를 지키고 있는 '진주식당'은 단골이 끊이지 않는 돼지국밥 맛집이다. 주변에 송현공원, 달서별빛캠프 캠핑장, 대덕승마장, 학산공원이 있으며, 대구지하철 1호선 송현역이 도보로 1분 거리에 있다.",053-951-6660,,"농수산물, 잡화류",,,상설시장,07:00~20:00,연중 무휴(개별휴무),지상 약 8개 점포 운영,있음-건물 뒤 전용주차장,,없음,가능,가능,있음,
서대구시장,42662,,,대구광역시 달서구 명덕로2길 30(두류동),35.8606400332,128.5707123358,"대구광역시 달서구 두류동에 있는 서대구시장은 소형 크기의 재래시장이다. 2021년 10월 현재 30여 개 상점이 성업 중이다. 1970년대에 개설되어 지금까지 재래시장의 형태를 유지하고 있다. 인근에는 능금 근린공원과 함께 공영주차장이 있어 주차가 편리하다. 대구 지하철 2호선 반고개역 2번 출구와 인접하여 대중교통을 이용하기 좋다. 서대구시장과 주변에는 조개구이와 무침회 골목도 형성되어 있어 퇴근길 단골손님의 발길이 이어진다. 서대구시장의 유명 점포로는 소문난떡집과 호식이두마리치킨 두류점, 정민막창이 있다. 시장 후문 쪽에는 미로 마을사업을 통해 조성된 골목벽화가 있어 찾는 이들의 즐거움을 더한다. 주변에 두류공원, 이월드, 청라언덕, 동성로 등 대구의 대표 관광지가 모여있어 연계 관광이 가능하다.",053-951-6660,,"농수산물, 잡화류, 떡, 막창 등",,,상설시장,08:00~19:00,연중 무휴(개별휴무),지상 약 30개 점포 운영,있음-능금공원공영주차장(약30~40대) / 주차요금 무료,,없음,가능,가능,있음,
게스 동성로,41942,,,대구광역시 중구 동성로5길 22,35.8677313587,128.5957210462,-,,,"남성의류,여성의류",,월~일요일,,11:00~22:00,,"이용환급창구 운영사업자 : 글로벌텍스프리(GTF), 환급서비스 제공방식 : 즉시+사후",불가능,,,,가능,,
ON&ON,41250,,,대구 동구 대구동구동대구로454,35.8707732498,128.6265710218,-,053-430-2217,,여성의류,,월~일요일,,10:30~21:00,"정기휴무일,명절","이용환급창구 운영사업자 : 글로벌텍스프리(GTF), 환급서비스 제공방식 : 사후",가능,,,,가능,완비,
홈플러스 칠곡,41422,,,대구광역시 북구 동암로12길 8 (동천동),35.9448941074,128.5559807327,-,,,"가구 및 홈데코,가든 및 DIY,가죽 제품 및 가방,기타 패션 및 의류,남성의류,란제리(속옷),보석(장신구),스포츠 용품 및 의류,시계,식료품,신발,아동의류,악세서리,안경,여성의류,전자제품,향수 및 화장품,기타 소매",,월~일요일,,10:30~23:00,"2,4주 일요일","이용환급창구 운영사업자 : 글로벌텍스프리(GTF), 환급서비스 제공방식 : 즉시+사후",가능,,,,가능,완비,
룩스 대현프리몰대구,41909,,,대구광역시 중구 국채보상로 580C열01호,35.8708809922,128.5952098924,-,053-423-3826,,향수 및 화장품,,월~일요일,,11:00~22:00,"월1회 월요일, 명절","이용환급창구 운영사업자 : 글로벌텍스프리(GTF), 환급서비스 제공방식 : 즉시+사후",불가능,,,,가능,완비,
홀리데이비지터샵,41913,,,대구광역시 중구 경상감영길 184,35.8719781290,128.5973180095,"홀리데이비지터샵은 도서, 음반, 문구를 주로 판매하는 라이프스타일 편집샵이다. 아트, 예술을 대중과 가까이하고 하는 목적에서 시작되었다고 한다. 가끔 사진전도 개최하며 자체 굿즈도 있어 구경할 거리가 많다. 감각적인 인테리어 소품과 진열이 발길을 이끈다. 스탭분들의 매장에 대한 애정을 느낄 수 있는 글귀나 굿즈를 곳곳에서 발견할 수 있다. LP판이나 책을 추천하기도 한다.",0507-1466-7078,,"도서, 음반, 문구",,,,11:30 ~ 20:00,연중무휴,,,,,,,,
홈플러스 상인,42781,,,대구광역시 달서구 월배로 183 (상인동),35.8178858574,128.5336695627,-,053-380-8000,,"가구 및 홈데코,가든 및 DIY,가죽 제품 및 가방,기타 패션 및 의류,남성의류,란제리(속옷),스포츠 용품 및 의류,시계,식료품,신발,아동의류,악세서리,여성의류,전자제품,향수 및 화장품",,월~일요일,,10:00~24:00,2주 일요일,"이용환급창구 운영사업자 : 글로벌텍스프리(GTF), 환급서비스 제공방식 : 즉시",가능,,,,가능,완비,
이마트 칠성,41593,,,대구광역시 북구 침산로 93 (칠성동2가),35.8852681530,128.5898155227,-,,,"가구 및 홈데코,가든 및 DIY,가죽 제품 및 가방,기타 패션 및 의류,남성의류,란제리(속옷),보석(장신구),스포츠 용품 및 의류,시계,식료품,신발,아동의류,악세서리,안경,여성의류,전자제품,향수 및 화장품",,월~일요일,,10:00~23:30,"2,4주 일요일","이용환급창구 운영사업자 : 글로벌텍스프리(GTF), 환급서비스 제공방식 : 즉시+사후",가능,,,,가능,완비,
롯데아울렛 대구율하점,41097,,,대구광역시 동구 안심로 80,35.8684941880,128.6934207547,-,053-960-2533,,"가구 및 홈데코,가든 및 DIY,가죽 제품 및 가방,기념품점,기타 패션 및 의류,남성의류,란제리(속옷),보석(장신구),스포츠 용품 및 의류,시계,식료품,신발,아동의류,악세서리,안경,여성의류,전자제품,향수 및 화장품,기타 소매",,월~일요일,,11:00~21:00,월1회,"이용환급창구 운영사업자 : 글로벌블루, 환급서비스 제공방식 : 사후",가능,,,,가능,완비,
빈폴 롯데 대구점,41581,,,대구광역시 북구 태평로 161,35.8759276605,128.5961541136,-,053-660-3173,,가죽 제품 및 가방,,월~일요일,,10:30~20:00,명절,"이용환급창구 운영사업자 : 글로벌텍스프리(GTF), 환급서비스 제공방식 : 사후",가능,,,,가능,완비,
쇼메 신세계대구,41229,,,대구광역시 동구 동부로 149신세계백화점대구점,35.8779835934,128.6292150324,-,053-661-6493,,"보석(장신구),시계",,월~일요일,,11:00~20:00,"정기휴무일,명절","이용환급창구 운영사업자 : 글로벌텍스프리(GTF), 환급서비스 제공방식 : 사후",가능,,,,가능,완비,
마이클코어스 롯데 대구점,41581,,,대구광역시 북구 태평로 161 2층,35.8759276605,128.5961541136,-,053-660-3044,,"가죽 제품 및 가방,신발",,월~일요일,,10:30~20:00,"월1회, 명절","이용환급창구 운영사업자 : 글로벌텍스프리(GTF), 환급서비스 제공방식 : 즉시",가능,,,,가능,완비,
로저드비비에 신세계 대구점,41229,,,대구광역시 동구 동부로 149,35.8779835934,128.6292150324,-,053-661-6534,,"가죽 제품 및 가방,신발",,월~일요일,,11:00~20:00,"정기휴무일,명절","이용환급창구 운영사업자 : 글로벌텍스프리(GTF), 환급서비스 제공방식 : 사후",가능,,,,가능,완비,
입생로랑 신세계 대구점,41229,,,대구광역시 동구 동부로 149 5층,35.8779835934,128.6292150324,-,053-661-6455,,"가죽 제품 및 가방,신발,여성의류",,월~일요일,,11:00~20:00,"정기휴무일,명절","이용환급창구 운영사업자 : 글로벌텍스프리(GTF), 환급서비스 제공방식 : 사후",가능,,,,가능,완비,
에르메질도제냐 신세계 대구점,41243,,,대구광역시 동구 동부로30길 12,35.8762587778,128.6286151334,-,053-661-6490,,"가죽 제품 및 가방,남성의류,향수 및 화장품",,월~일요일,,11:00~20:00,"정기휴무일,명절","이용환급창구 운영사업자 : 글로벌텍스프리(GTF), 환급서비스 제공방식 : 사후",가능,,,,가능,완비,
OST 대구동성로,41941,,,대구 중구 동성로6길 2-23,35.8680729837,128.5955654945,-,053-424-4002,,악세서리,,월~일요일,,11:30~22:00,,"이용환급창구 운영사업자 : 글로벌텍스프리(GTF), 환급서비스 제공방식 : 사후",불가능,,,,가능,,
나그놀스트릿 대구동성로,41941,,,대구광역시 중구 동성로2길 49-9 (삼덕동1가),35.8682202013,128.5962376539,-,053-421-3539,,"악세서리,기타 소매",,토~목요일,,9:30~22:00,,"이용환급창구 운영사업자 : 글로벌텍스프리(GTF), 환급서비스 제공방식 : 사후",불가능,,,,가능,,
나림그림1호 대구동성로,41957,,,대구광역시 중구 달구벌대로 지하2100 (덕산동),35.8644705727,128.5933602338,-,053-422-3539,,악세서리,,월~일요일,,10:30~22:00,,"이용환급창구 운영사업자 : 글로벌텍스프리(GTF), 환급서비스 제공방식 : 사후",불가능,,,,가능,,
닥터마틴 대구동성로,41941,,,대구 중구 동성로 24-1,35.8689978739,128.5953210466,-,053-422-9211,,신발,,월~일요일,,11:00~23:00,명절,"이용환급창구 운영사업자 : 글로벌텍스프리(GTF), 환급서비스 제공방식 : 사후",불가능,,,,가능,,
레몬트리안경 대구동성로,41909,,,대구광역시 중구 국채보상로 지하580 (동성로2가),35.8708809922,128.5952098924,-,053-421-8044,,안경,,월~일요일,,11:00~23:00,명절,"이용환급창구 운영사업자 : 글로벌텍스프리(GTF), 환급서비스 제공방식 : 사후",불가능,,,,가능,완비,
렌즈미 대구동성로,41938,,,대구 중구 동성로6길 19,35.8690673336,128.5965764897,-,053-255-1423,,안경,,월~일요일,,12:30~22:00,,"이용환급창구 운영사업자 : 글로벌텍스프리(GTF), 환급서비스 제공방식 : 사후",불가능,,,,가능,,
렌즈타운 대구동성로,41938,,,대구 중구 동성로6길 19대구백화점주차장입구코너1층,35.8690673336,128.5965764897,-,053-421-2333,,안경,,월~일요일,,12:00~22:30,,"이용환급창구 운영사업자 : 글로벌텍스프리(GTF), 환급서비스 제공방식 : 사후",불가능,,,,가능,,
로데오안경 대구동성로,41941,,,대구광역시 중구 동성로3길 68 (공평동),35.8683313373,128.5982485847,-,053-426-3255,,안경,,월~일요일,,10:00~21:30,명절,"이용환급창구 운영사업자 : 글로벌텍스프리(GTF), 환급서비스 제공방식 : 사후",불가능,,,,가능,,
씨채널한일로안경 대구동성로,41938,,,대구 중구 국채보상로 604,35.8705366153,128.5967569878,-,053-427-0033,,안경,,월~일요일,,11:00~23:00,명절,"이용환급창구 운영사업자 : 글로벌텍스프리(GTF), 환급서비스 제공방식 : 사후",불가능,,,,가능,완비,
영스테이지 대구동성로,41941,,,대구광역시 중구 동성로2길 49-9 (삼덕동1가),35.8682202013,128.5962376539,-,053-421-8738,,"남성의류,신발",,월~일요일,,12:00~23:00,,"이용환급창구 운영사업자 : 글로벌텍스프리(GTF), 환급서비스 제공방식 : 사후",불가능,,,,가능,,
킴스안경 대구동성로,41941,,,대구광역시 중구 동성로2길 49-9 (삼덕동1가),35.8682202013,128.5962376539,-,010-3060-4961,,안경,,월~일요일,,11:30~22:00,,"이용환급창구 운영사업자 : 글로벌텍스프리(GTF), 환급서비스 제공방식 : 사후",불가능,,,,가능,,
프롬앤 대구동성로,41941,,,대구광역시 중구 동성로5길 37 (삼덕동1가),35.8678313654,128.5967487309,-,053-254-3539,,악세서리,,월~일요일,,10:00~22:00,,"이용환급창구 운영사업자 : 글로벌텍스프리(GTF), 환급서비스 제공방식 : 사후",불가능,,,,가능,,
퍼퓸하우스 대구동성로,41942,,,대구 중구 동성로5길 8,35.8679341000,128.5949961043,-,053-428-0772,,향수 및 화장품,,월~일요일,,9:30~22:00,,"이용환급창구 운영사업자 : 글로벌텍스프리(GTF), 환급서비스 제공방식 : 사후",불가능,,,,가능,,
향수의집 대구동성로,41941,,,대구광역시 중구 동성로2길 49-9 (삼덕동1가),35.8682202013,128.5962376539,-,053-252-1109,,향수 및 화장품,,월~일요일,,10:30~25:00,,"이용환급창구 운영사업자 : 글로벌텍스프리(GTF), 환급서비스 제공방식 : 사후",불가능,,,,가능,완비,
더플레인 대구동성로,41941,,,대구광역시 중구 동성로2길 50-14 (삼덕동1가),35.8678952605,128.5974236697,-,010-6410-0332,,악세서리,,월~일요일,,12:00~22:00,,"이용환급창구 운영사업자 : 글로벌텍스프리(GTF), 환급서비스 제공방식 : 사후",불가능,,,,가능,,
